Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R1_paired	(50, 57092.0)	(55, 60637.0)	(60, 70498.0)	(65, 85480.0)	(70, 110824.0)	(75, 153384.0)	(80, 205508.0)	(85, 289455.0)	(90, 383116.0)	(95, 515730.0)	(100, 609853.0)	(105, 763756.0)	(110, 808832.0)	(115, 914423.0)	(120, 868549.0)	(125, 940791.0)	(130, 847034.0)	(135, 880289.0)	(140, 774784.0)	(145, 2067674.0)	(150, 10546615.0)
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R2_paired	(50, 78039.0)	(55, 79540.0)	(60, 87856.0)	(65, 101757.0)	(70, 132828.0)	(75, 165532.0)	(80, 222744.0)	(85, 311450.0)	(90, 405505.0)	(95, 538318.0)	(100, 634003.0)	(105, 785043.0)	(110, 833749.0)	(115, 934332.0)	(120, 885726.0)	(125, 958176.0)	(130, 865403.0)	(135, 899951.0)	(140, 793706.0)	(145, 2074254.0)	(150, 10166412.0)
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R1_paired	(50, 78338.0)	(55, 78617.0)	(60, 92450.0)	(65, 107500.0)	(70, 134752.0)	(75, 178821.0)	(80, 236247.0)	(85, 329717.0)	(90, 433841.0)	(95, 588215.0)	(100, 702104.0)	(105, 897100.0)	(110, 964126.0)	(115, 1120569.0)	(120, 1063982.0)	(125, 1170459.0)	(130, 1041874.0)	(135, 1099500.0)	(140, 946262.0)	(145, 2358173.0)	(150, 11318575.0)
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R2_paired	(50, 99153.0)	(55, 102028.0)	(60, 112616.0)	(65, 126790.0)	(70, 160698.0)	(75, 194497.0)	(80, 257995.0)	(85, 357228.0)	(90, 458337.0)	(95, 613871.0)	(100, 727730.0)	(105, 922648.0)	(110, 991919.0)	(115, 1142162.0)	(120, 1079279.0)	(125, 1186163.0)	(130, 1061364.0)	(135, 1119139.0)	(140, 969095.0)	(145, 2331242.0)	(150, 10927268.0)
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R1_paired	(50, 119120.0)	(55, 129484.0)	(60, 139536.0)	(65, 173723.0)	(70, 188771.0)	(75, 245437.0)	(80, 311552.0)	(85, 408282.0)	(90, 511292.0)	(95, 648318.0)	(100, 730517.0)	(105, 873452.0)	(110, 880767.0)	(115, 965710.0)	(120, 873945.0)	(125, 930086.0)	(130, 792233.0)	(135, 824152.0)	(140, 680956.0)	(145, 1502563.0)	(150, 6278548.0)
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R2_paired	(50, 58615.0)	(55, 65184.0)	(60, 82805.0)	(65, 104748.0)	(70, 146773.0)	(75, 195982.0)	(80, 269005.0)	(85, 370391.0)	(90, 480688.0)	(95, 624762.0)	(100, 712709.0)	(105, 870436.0)	(110, 881630.0)	(115, 975680.0)	(120, 876942.0)	(125, 940993.0)	(130, 805670.0)	(135, 844777.0)	(140, 704523.0)	(145, 1525195.0)	(150, 6670936.0)
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R1_paired	(50, 88880.0)	(55, 103013.0)	(60, 146260.0)	(65, 198576.0)	(70, 233015.0)	(75, 291638.0)	(80, 388236.0)	(85, 512753.0)	(90, 620260.0)	(95, 815430.0)	(100, 852076.0)	(105, 1084036.0)	(110, 966141.0)	(115, 1149031.0)	(120, 910524.0)	(125, 1036473.0)	(130, 770951.0)	(135, 856122.0)	(140, 625692.0)	(145, 1293832.0)	(150, 5049525.0)
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R2_paired	(50, 103971.0)	(55, 112745.0)	(60, 152199.0)	(65, 173416.0)	(70, 248320.0)	(75, 302116.0)	(80, 401571.0)	(85, 528627.0)	(90, 635479.0)	(95, 828291.0)	(100, 865900.0)	(105, 1091984.0)	(110, 976777.0)	(115, 1151190.0)	(120, 912689.0)	(125, 1038460.0)	(130, 774856.0)	(135, 860565.0)	(140, 629499.0)	(145, 1273818.0)	(150, 4929991.0)
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R1_paired	(50, 55747.0)	(55, 56120.0)	(60, 60787.0)	(65, 69522.0)	(70, 82820.0)	(75, 116952.0)	(80, 161079.0)	(85, 238109.0)	(90, 342144.0)	(95, 485599.0)	(100, 622700.0)	(105, 798708.0)	(110, 910449.0)	(115, 1032428.0)	(120, 1036631.0)	(125, 1116004.0)	(130, 1048481.0)	(135, 1069856.0)	(140, 972969.0)	(145, 2513067.0)	(150, 11934860.0)
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R2_paired	(50, 88721.0)	(55, 87211.0)	(60, 88232.0)	(65, 96946.0)	(70, 116679.0)	(75, 138187.0)	(80, 186115.0)	(85, 269941.0)	(90, 372737.0)	(95, 517105.0)	(100, 655312.0)	(105, 825154.0)	(110, 940772.0)	(115, 1055302.0)	(120, 1056142.0)	(125, 1136730.0)	(130, 1070677.0)	(135, 1093414.0)	(140, 996123.0)	(145, 2454453.0)	(150, 11479079.0)
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R1_paired	(50, 69726.0)	(55, 76986.0)	(60, 100046.0)	(65, 133973.0)	(70, 174753.0)	(75, 252294.0)	(80, 349090.0)	(85, 483779.0)	(90, 621177.0)	(95, 789718.0)	(100, 876145.0)	(105, 1029007.0)	(110, 1039394.0)	(115, 1117505.0)	(120, 1027577.0)	(125, 1087472.0)	(130, 940062.0)	(135, 974897.0)	(140, 831148.0)	(145, 1948651.0)	(150, 8626655.0)
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R2_paired	(50, 102001.0)	(55, 107873.0)	(60, 126918.0)	(65, 154685.0)	(70, 205886.0)	(75, 272293.0)	(80, 374052.0)	(85, 512324.0)	(90, 647709.0)	(95, 813608.0)	(100, 901939.0)	(105, 1047588.0)	(110, 1062048.0)	(115, 1131957.0)	(120, 1039669.0)	(125, 1097909.0)	(130, 954039.0)	(135, 987495.0)	(140, 843800.0)	(145, 1905802.0)	(150, 8260460.0)
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R1_paired	(50, 52272.0)	(55, 56748.0)	(60, 69246.0)	(65, 89798.0)	(70, 122397.0)	(75, 179083.0)	(80, 251336.0)	(85, 360763.0)	(90, 482234.0)	(95, 624951.0)	(100, 718506.0)	(105, 859953.0)	(110, 878514.0)	(115, 966139.0)	(120, 891867.0)	(125, 957269.0)	(130, 831664.0)	(135, 872346.0)	(140, 742715.0)	(145, 1956710.0)	(150, 9557072.0)
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R2_paired	(50, 87281.0)	(55, 89298.0)	(60, 97771.0)	(65, 116488.0)	(70, 155901.0)	(75, 201894.0)	(80, 280589.0)	(85, 394044.0)	(90, 512688.0)	(95, 655688.0)	(100, 749869.0)	(105, 886190.0)	(110, 908714.0)	(115, 988844.0)	(120, 912245.0)	(125, 978022.0)	(130, 853608.0)	(135, 894763.0)	(140, 764272.0)	(145, 1967240.0)	(150, 9026174.0)
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R1_paired	(50, 61438.0)	(55, 68082.0)	(60, 83869.0)	(65, 105966.0)	(70, 144256.0)	(75, 205476.0)	(80, 282531.0)	(85, 398880.0)	(90, 517445.0)	(95, 663972.0)	(100, 751000.0)	(105, 896418.0)	(110, 912390.0)	(115, 994243.0)	(120, 916945.0)	(125, 976552.0)	(130, 847161.0)	(135, 875041.0)	(140, 752797.0)	(145, 1965659.0)	(150, 9248885.0)
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R2_paired	(50, 87863.0)	(55, 91519.0)	(60, 105187.0)	(65, 126272.0)	(70, 170852.0)	(75, 220877.0)	(80, 302337.0)	(85, 422307.0)	(90, 540861.0)	(95, 687307.0)	(100, 774904.0)	(105, 915090.0)	(110, 935388.0)	(115, 1009999.0)	(120, 931477.0)	(125, 990368.0)	(130, 863414.0)	(135, 891818.0)	(140, 770168.0)	(145, 1942506.0)	(150, 8888492.0)
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R1_paired	(50, 79456.0)	(55, 74978.0)	(60, 99060.0)	(65, 127614.0)	(70, 180626.0)	(75, 254526.0)	(80, 341069.0)	(85, 455244.0)	(90, 550600.0)	(95, 673630.0)	(100, 709019.0)	(105, 810930.0)	(110, 794049.0)	(115, 843234.0)	(120, 763120.0)	(125, 796609.0)	(130, 691776.0)	(135, 702054.0)	(140, 610235.0)	(145, 1415208.0)	(150, 6234076.0)
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R2_paired	(50, 83411.0)	(55, 91374.0)	(60, 113546.0)	(65, 144338.0)	(70, 200197.0)	(75, 265962.0)	(80, 355212.0)	(85, 473454.0)	(90, 568418.0)	(95, 687940.0)	(100, 725373.0)	(105, 823984.0)	(110, 808419.0)	(115, 853109.0)	(120, 770248.0)	(125, 804021.0)	(130, 700788.0)	(135, 712040.0)	(140, 619583.0)	(145, 1397487.0)	(150, 6008209.0)
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R1_paired	(50, 62418.0)	(55, 69685.0)	(60, 86492.0)	(65, 110647.0)	(70, 150697.0)	(75, 213231.0)	(80, 287653.0)	(85, 396867.0)	(90, 500752.0)	(95, 635841.0)	(100, 716122.0)	(105, 853865.0)	(110, 880339.0)	(115, 962959.0)	(120, 905819.0)	(125, 964601.0)	(130, 861887.0)	(135, 881866.0)	(140, 772983.0)	(145, 1965316.0)	(150, 9620767.0)
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R2_paired	(50, 89419.0)	(55, 95640.0)	(60, 109857.0)	(65, 133094.0)	(70, 178512.0)	(75, 231528.0)	(80, 311088.0)	(85, 423684.0)	(90, 525864.0)	(95, 661163.0)	(100, 743271.0)	(105, 873245.0)	(110, 902749.0)	(115, 978371.0)	(120, 917637.0)	(125, 976639.0)	(130, 875283.0)	(135, 896973.0)	(140, 787811.0)	(145, 1955003.0)	(150, 9233976.0)
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R1_paired	(50, 97867.0)	(55, 97566.0)	(60, 104955.0)	(65, 119256.0)	(70, 142790.0)	(75, 190557.0)	(80, 245500.0)	(85, 338766.0)	(90, 444294.0)	(95, 578980.0)	(100, 680803.0)	(105, 824744.0)	(110, 871163.0)	(115, 951252.0)	(120, 912898.0)	(125, 965777.0)	(130, 868081.0)	(135, 884538.0)	(140, 778583.0)	(145, 2001660.0)	(150, 9378559.0)
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R2_paired	(50, 50036.0)	(55, 52793.0)	(60, 62706.0)	(65, 77086.0)	(70, 106467.0)	(75, 145089.0)	(80, 208731.0)	(85, 305763.0)	(90, 417512.0)	(95, 558761.0)	(100, 666112.0)	(105, 820095.0)	(110, 874459.0)	(115, 960156.0)	(120, 916720.0)	(125, 977049.0)	(130, 882477.0)	(135, 904856.0)	(140, 805187.0)	(145, 2012247.0)	(150, 9674287.0)
MSD-9-RNASeq030-Ilmn-mRNA_S9_L001_R1_paired	(50, 53874.0)	(55, 55688.0)	(60, 62897.0)	(65, 73549.0)	(70, 88682.0)	(75, 117675.0)	(80, 151652.0)	(85, 208043.0)	(90, 274001.0)	(95, 356296.0)	(100, 423947.0)	(105, 520778.0)	(110, 563584.0)	(115, 631360.0)	(120, 622404.0)	(125, 678350.0)	(130, 632667.0)	(135, 661226.0)	(140, 599849.0)	(145, 1804992.0)	(150, 9939896.0)
MSD-9-RNASeq030-Ilmn-mRNA_S9_L001_R2_paired	(50, 69264.0)	(55, 70006.0)	(60, 75874.0)	(65, 86488.0)	(70, 106372.0)	(75, 127331.0)	(80, 166211.0)	(85, 227291.0)	(90, 292352.0)	(95, 375374.0)	(100, 445114.0)	(105, 539728.0)	(110, 586510.0)	(115, 650484.0)	(120, 638577.0)	(125, 695114.0)	(130, 652478.0)	(135, 681016.0)	(140, 621511.0)	(145, 1835068.0)	(150, 9579247.0)
