Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R2_paired - polya	(1, 0.0008299513151360427)	(2, 0.0063749883626391685)	(3, 0.007569797502303616)	(4, 0.008423805377298674)	(5, 0.009277813252293732)	(6, 0.010208000233509007)	(7, 0.01092167817599314)	(8, 0.011735591784556507)	(9, 0.013018608310370678)	(10, 0.0170809593852298)	(15, 0.022403874196701347)	(20, 0.028595230819083363)	(25, 0.03602309461821878)	(30, 0.04563930347919601)	(35, 0.055601926802143056)	(40, 0.06672407631029467)	(45, 0.07774117884039523)	(50, 0.08869573431486236)	(55, 0.09750043522326211)	(60, 0.10624258907602843)	(65, 0.11540894026764206)	(70, 0.12617505268988022)	(75, 0.13775026740870994)	(80, 0.15030298034314438)	(85, 0.16301206091666237)	(90, 0.17571232075156543)	(95, 0.18835805238412134)	(100, 0.2019732633789956)	(105, 0.21514663555779262)	(110, 0.2279735932746198)	(115, 0.2418542283132719)	(120, 0.25622641905837656)	(125, 0.2690718201377623)	(130, 0.28102231719039267)	(135, 0.29293352186192)	(140, 0.29976478297655185)
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R1_paired - polya	(1, 0.00018672655389993787)	(2, 0.002350557796152159)	(3, 0.0041244600582015685)	(4, 0.006200419980971466)	(5, 0.007875467008603261)	(6, 0.00928140812032044)	(7, 0.010511606593072972)	(8, 0.011582538299263792)	(9, 0.013927604137948305)	(10, 0.02189643442350154)	(15, 0.030014645952174717)	(20, 0.03670824371374072)	(25, 0.044668286867345725)	(30, 0.053802510527533265)	(35, 0.06162854991892772)	(40, 0.0692931257607734)	(45, 0.07558251545272074)	(50, 0.08195098933220213)	(55, 0.08663343226911646)	(60, 0.0918156433355865)	(65, 0.0978128608902551)	(70, 0.10301923656958276)	(75, 0.10763138245091124)	(80, 0.11218970714905678)	(85, 0.11807708555437246)	(90, 0.12405123688767697)	(95, 0.1280548738815903)	(100, 0.13152469260964858)	(105, 0.1352504365556991)	(110, 0.1383687700058281)	(115, 0.14146074206011233)	(120, 0.144096881644582)	(125, 0.14597073753254258)	(130, 0.14755681484919853)	(135, 0.14911103881254215)	(140, 0.14991396299431187)
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R2_paired - polya	(1, 0.0027624546062255512)	(2, 0.015036979546412643)	(3, 0.017222778618535443)	(4, 0.018458469048755623)	(5, 0.019606288159493473)	(6, 0.020666235950749005)	(7, 0.02193487812577505)	(8, 0.023170568555995228)	(9, 0.02603737035410604)	(10, 0.034444458845577355)	(15, 0.04467377882481337)	(20, 0.057676537325210206)	(25, 0.07287168524669103)	(30, 0.09228245972033634)	(35, 0.11316068522933645)	(40, 0.13618626610818585)	(45, 0.15844187455007136)	(50, 0.1803679655438982)	(55, 0.19791916321899886)	(60, 0.21678293872886667)	(65, 0.2365012628207001)	(70, 0.25821975782224993)	(75, 0.2816231853748733)	(80, 0.30625351622576863)	(85, 0.3301622038654154)	(90, 0.35293185952627254)	(95, 0.375996982498889)	(100, 0.3992125851061189)	(105, 0.42250727190088283)	(110, 0.4438347395307364)	(115, 0.46499744843656055)	(120, 0.48445215856994694)	(125, 0.5032884742924766)	(130, 0.5217271722943487)	(135, 0.5393947994677635)	(140, 0.549492312467776)
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R2_paired - polyg	(1, 0.24751703110930293)	(2, 0.3018269985068466)	(3, 0.3024366057857552)	(4, 0.30261234842471985)	(5, 0.3028814543406345)	(6, 0.30295834174518155)	(7, 0.3030352291497286)	(8, 0.30308465676693735)	(9, 0.3032109717886932)	(10, 0.3035580635006484)	(15, 0.3039260246509806)	(20, 0.30428410027787106)	(25, 0.3046938003049574)	(30, 0.3053934756863354)	(35, 0.3061447754679093)	(40, 0.3071355245950725)	(45, 0.3081592254670416)	(50, 0.30907089040667063)	(55, 0.3098902904608433)	(60, 0.31066136128930066)	(65, 0.3117136203401015)	(70, 0.31292734294045116)	(75, 0.3140982282725531)	(80, 0.31492312028419345)	(85, 0.3157611929937561)	(90, 0.316610249618254)	(95, 0.3172747764718391)	(100, 0.31804255212581595)	(105, 0.31885096826505327)	(110, 0.31944739484603957)	(115, 0.3199372774521535)	(120, 0.32049416193937275)	(125, 0.3209346169282779)	(130, 0.321428893100366)	(135, 0.3218199204720623)	(140, 0.32205936981765165)
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R1_paired - polya	(1, 0.0016062280296906526)	(2, 0.00429624313823832)	(3, 0.0068695427152167705)	(4, 0.010404355957027342)	(5, 0.012082836458641796)	(6, 0.013211086597144227)	(7, 0.014478283797038582)	(8, 0.015951122647792988)	(9, 0.01822429657216488)	(10, 0.025082723522470297)	(15, 0.03310163632952107)	(20, 0.04038579707593135)	(25, 0.04959854303446154)	(30, 0.057914246764645474)	(35, 0.06453257319286565)	(40, 0.07140322748457355)	(45, 0.07719676415637125)	(50, 0.08258012910293999)	(55, 0.0873843626976272)	(60, 0.09235755591896697)	(65, 0.097866529009034)	(70, 0.10257739017846583)	(75, 0.10719376734615116)	(80, 0.11230257289940944)	(85, 0.11687004070148481)	(90, 0.12130300774813278)	(95, 0.12464996456294145)	(100, 0.1278513048574114)	(105, 0.13066025865051054)	(110, 0.1331535247201273)	(115, 0.13548561219852934)	(120, 0.137625396943965)	(125, 0.13921828605576203)	(130, 0.1406722281061671)	(135, 0.14202723984886118)	(140, 0.1428598106407216)
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R2_paired - polya	(1, 0.001078229196401338)	(2, 0.005341125039905596)	(3, 0.006441585766129642)	(4, 0.007158552602911975)	(5, 0.007858845792327276)	(6, 0.008542465334375547)	(7, 0.00927610581852491)	(8, 0.010104230304420784)	(9, 0.011693784686744407)	(10, 0.015902213282183032)	(15, 0.02183692016835493)	(20, 0.02909551465546909)	(25, 0.03842942245153304)	(30, 0.049681911271296696)	(35, 0.062317201246032794)	(40, 0.07555385410247313)	(45, 0.08829363226737594)	(50, 0.1011101092101671)	(55, 0.11316849098600393)	(60, 0.1256470486754899)	(65, 0.13927275330382766)	(70, 0.1538132853843698)	(75, 0.16809926644844198)	(80, 0.18352016710996338)	(85, 0.19887770791149004)	(90, 0.2133948968857184)	(95, 0.2276730969143526)	(100, 0.24183569298790872)	(105, 0.2548944936057674)	(110, 0.2676542801475107)	(115, 0.27993831195104796)	(120, 0.2910318453325792)	(125, 0.30156069785661377)	(130, 0.3118016520694442)	(135, 0.32172247225282763)	(140, 0.3270591509867687)
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R2_paired - polyg	(1, 0.31223072059502244)	(2, 0.38723990221683924)	(3, 0.3882903420009622)	(4, 0.3886738358904039)	(5, 0.3890962349570353)	(6, 0.38919627684123753)	(7, 0.3893796869622749)	(8, 0.3894964024938441)	(9, 0.38969648626224845)	(10, 0.3902645018492187)	(15, 0.3908214016712775)	(20, 0.3911204157473929)	(25, 0.3914961286013967)	(30, 0.39194854023328873)	(35, 0.39275665634234425)	(40, 0.39399606412996013)	(45, 0.3952076825052978)	(50, 0.39628146539573456)	(55, 0.39733412833283976)	(60, 0.3982934188446896)	(65, 0.39934608178179487)	(70, 0.40027869445785746)	(75, 0.40124910073461867)	(80, 0.40206610945560317)	(85, 0.40285421718781816)	(90, 0.40363009757863066)	(95, 0.4042147868129679)	(100, 0.40483726964800376)	(105, 0.4054508598711105)	(110, 0.406022210187554)	(115, 0.40654798586786106)	(120, 0.4069014671920422)	(125, 0.40724160959832967)	(130, 0.40749949534427304)	(135, 0.40780517887933526)	(140, 0.4079318985993247)
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R1_paired - polya	(1, 0.0010798772677018172)	(2, 0.0030738079530089183)	(3, 0.004833158557691655)	(4, 0.00766025297763012)	(5, 0.009731028861762444)	(6, 0.011599580538459971)	(7, 0.013670356422592294)	(8, 0.01568855401279157)	(9, 0.019906950979881443)	(10, 0.03277649954103194)	(15, 0.04425070107088234)	(20, 0.05304583630063654)	(25, 0.062065844849058235)	(30, 0.07074935231630844)	(35, 0.07855278003280239)	(40, 0.08620737073262433)	(45, 0.09321565286548465)	(50, 0.09974992145611783)	(55, 0.10502150209552814)	(60, 0.11029227383810869)	(65, 0.1158971199713715)	(70, 0.12086779099011884)	(75, 0.12593795631892407)	(80, 0.13104533090189732)	(85, 0.13681519198842693)	(90, 0.14363338336629858)	(95, 0.14864207253604364)	(100, 0.1526687609544853)	(105, 0.15685156646106665)	(110, 0.16069301750549805)	(115, 0.16422466106413938)	(120, 0.16797389786998052)	(125, 0.17112212433132543)	(130, 0.1739160539812446)	(135, 0.1765829868288947)	(140, 0.17808268155123116)
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R1_paired - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0010879662359992092)	(4, 0.001848329255954047)	(5, 0.00235388977454104)	(6, 0.0026086922759088844)	(7, 0.002920117555358472)	(8, 0.0031749200567263167)	(9, 0.0037937261314767963)	(10, 0.006615158273607087)	(15, 0.010455800421208757)	(20, 0.014458221934758264)	(25, 0.019981369488217444)	(30, 0.02502726791213051)	(35, 0.032267703435125986)	(40, 0.039005005130023696)	(45, 0.04268710349899648)	(50, 0.04536778759275216)	(55, 0.048714193777383175)	(60, 0.053239971539773945)	(65, 0.05759021869011129)	(70, 0.060737636254626484)	(75, 0.06316675343433327)	(80, 0.06587655781395955)	(85, 0.07067897829212112)	(90, 0.07697462231798122)	(95, 0.08093498119638429)	(100, 0.08471819166907449)	(105, 0.09035134919137819)	(110, 0.10040836347552554)	(115, 0.10836305489918072)	(120, 0.11042574181501566)	(125, 0.112943028749164)	(130, 0.114552733440345)	(135, 0.11577335875642143)	(140, 0.11632745308479277)
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R2_paired - polya	(1, 0.0018685516766975266)	(2, 0.00791909996314666)	(3, 0.009423648066461551)	(4, 0.010285123190133789)	(5, 0.011292199743159079)	(6, 0.012400388399901768)	(7, 0.013282085944317484)	(8, 0.01433365182297843)	(9, 0.016056602070322903)	(10, 0.020571864173927056)	(15, 0.02640239252268713)	(20, 0.033262646535705195)	(25, 0.04078134256813095)	(30, 0.04971075467162186)	(35, 0.059390014136281)	(40, 0.07003186082832977)	(45, 0.08054590182127976)	(50, 0.09115539264013894)	(55, 0.09975073035294757)	(60, 0.108529687646107)	(65, 0.11805040333213723)	(70, 0.12916707246324294)	(75, 0.14085724944663366)	(80, 0.15264449404959315)	(85, 0.1641486247621439)	(90, 0.17560826614905897)	(95, 0.18650410644564586)	(100, 0.1985655670738869)	(105, 0.21054775581281354)	(110, 0.22286725452974135)	(115, 0.2353841240731256)	(120, 0.24861120503302078)	(125, 0.26032807561179294)	(130, 0.27188802020559566)	(135, 0.2835118676489478)	(140, 0.2900097358822427)
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R1_paired - polya	(1, 0.0010997755881304945)	(2, 0.002767177286263825)	(3, 0.004181807982286518)	(4, 0.006718387161361691)	(5, 0.008252751489963106)	(6, 0.00988467655622126)	(7, 0.011600858623182959)	(8, 0.013055400530065226)	(9, 0.015352512443982953)	(10, 0.023189300425209607)	(15, 0.03104293980657697)	(20, 0.0371901531947483)	(25, 0.04413293005272049)	(30, 0.05143490780842884)	(35, 0.05732136795231764)	(40, 0.06321847108576897)	(45, 0.06817455655873123)	(50, 0.07292842523000498)	(55, 0.07651777345997604)	(60, 0.08100911505537348)	(65, 0.08582329400083503)	(70, 0.090016631888481)	(75, 0.09374788664595275)	(80, 0.09791993855447359)	(85, 0.10220640260079188)	(90, 0.10660550495331386)	(95, 0.10962988782067273)	(100, 0.11266402676179725)	(105, 0.11563164701815584)	(110, 0.11808751685971497)	(115, 0.12040236708957028)	(120, 0.12282187338345738)	(125, 0.12487597036903016)	(130, 0.1264387160031317)	(135, 0.12794203827884232)	(140, 0.12874913165400262)
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R2_paired - polya	(1, 0.0006651868476595733)	(2, 0.0041640696663489294)	(3, 0.004944555567602828)	(4, 0.005592004099324813)	(5, 0.006186237683234032)	(6, 0.006882466583784386)	(7, 0.007481134746678001)	(8, 0.008013284224805661)	(9, 0.009099756075982963)	(10, 0.012319260418655298)	(15, 0.01603898527076763)	(20, 0.020599506298321666)	(25, 0.025565347845049602)	(30, 0.03138972388315683)	(35, 0.03804780077033072)	(40, 0.04526286077794488)	(45, 0.05223934043619849)	(50, 0.06003355645917493)	(55, 0.06650449411320726)	(60, 0.07331334668585066)	(65, 0.08080246367470058)	(70, 0.08964767491697914)	(75, 0.09886450387815018)	(80, 0.10875893650813713)	(85, 0.11855580840046731)	(90, 0.1281123261118432)	(95, 0.13732383357823294)	(100, 0.1479153820245671)	(105, 0.15766347354806892)	(110, 0.1672678847124763)	(115, 0.17709668557349417)	(120, 0.18678535373860508)	(125, 0.1954079491158669)	(130, 0.20355870528918887)	(135, 0.21187886237971482)	(140, 0.21664692170373864)
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R1_paired - polya	(1, 0.0010501086281617853)	(2, 0.002783252514464201)	(3, 0.004149323030745462)	(4, 0.006607320660380791)	(5, 0.00833117154997381)	(6, 0.01002714344943864)	(7, 0.011467557939395072)	(8, 0.012907972429351502)	(9, 0.01486414823667943)	(10, 0.022223272330850384)	(15, 0.029947611195700618)	(20, 0.03675101408664967)	(25, 0.04436104909197432)	(30, 0.05160679862629064)	(35, 0.0579390465840733)	(40, 0.06389585747479634)	(45, 0.06955343387147685)	(50, 0.07447221702976031)	(55, 0.07881948089041592)	(60, 0.08322064413198602)	(65, 0.08812641709487633)	(70, 0.09295227028606586)	(75, 0.09712668440792668)	(80, 0.10144235207977034)	(85, 0.10613531541801549)	(90, 0.1110596743743246)	(95, 0.11471646857947207)	(100, 0.11836954558593575)	(105, 0.12192039962859609)	(110, 0.12520733256470956)	(115, 0.1281271921308019)	(120, 0.13121432563766336)	(125, 0.1337457379413029)	(130, 0.13584223799894274)	(135, 0.13803538522236028)	(140, 0.13921838370346643)
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R1_paired - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0009711181561319165)	(4, 0.0015937489356614707)	(5, 0.002053752272776589)	(6, 0.002388300154314857)	(7, 0.0028529499897846735)	(8, 0.0031410328877759597)	(9, 0.003805482152497797)	(10, 0.006440976019282596)	(15, 0.009764151642562724)	(20, 0.012775082576407134)	(25, 0.01730263057322503)	(30, 0.02132463954905176)	(35, 0.027142055489133864)	(40, 0.03358953660611304)	(45, 0.03709020846654264)	(50, 0.03958259018400273)	(55, 0.04273663326717184)	(60, 0.04611277897169554)	(65, 0.05029091029224012)	(70, 0.053136425884657265)	(75, 0.0554866247524636)	(80, 0.05765746878377859)	(85, 0.06131798018760981)	(90, 0.06661684691130759)	(95, 0.06990192124807919)	(100, 0.07334311792956866)	(105, 0.07910849308807814)	(110, 0.08919975821481162)	(115, 0.0971294723069395)	(120, 0.09915813348860072)	(125, 0.10120630996335167)	(130, 0.10251848109871844)	(135, 0.10378232865119634)	(140, 0.10447651550538824)
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R2_paired - polya	(1, 0.0006319237762389505)	(2, 0.004288717981386406)	(3, 0.005106501691813283)	(4, 0.005775597454889819)	(5, 0.006542269683415016)	(6, 0.007383285885615385)	(7, 0.008112786127302997)	(8, 0.008791174887088929)	(9, 0.009948152977408772)	(10, 0.01319047952931715)	(15, 0.01717159931962254)	(20, 0.02213034236375642)	(25, 0.02798678889001799)	(30, 0.03472235290498845)	(35, 0.042022001820219264)	(40, 0.04996751400675313)	(45, 0.05786656120974)	(50, 0.0657776893084491)	(55, 0.07262569858360327)	(60, 0.07915495807162512)	(65, 0.0866553357157789)	(70, 0.09546881379497038)	(75, 0.10471999201917444)	(80, 0.11467000359592508)	(85, 0.1241618704349025)	(90, 0.13407656862415746)	(95, 0.14319485699541712)	(100, 0.15327404122642835)	(105, 0.1625977048249657)	(110, 0.17171134669787072)	(115, 0.18206002783345446)	(120, 0.1926503268834825)	(125, 0.2016050585126568)	(130, 0.21041296079382263)	(135, 0.21863261638328368)	(140, 0.22326424594324684)
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R1_paired - polya	(1, 0.0010798834058193532)	(2, 0.003022750559024258)	(3, 0.004744103167445705)	(4, 0.0074530414546934)	(5, 0.009418983039646582)	(6, 0.011214173829662515)	(7, 0.012594024848209465)	(8, 0.014066173593749525)	(9, 0.016373616768577202)	(10, 0.024482895062191593)	(15, 0.0327352348326453)	(20, 0.039805240720317304)	(25, 0.047917287945741495)	(30, 0.05598134035312925)	(35, 0.06291751453666125)	(40, 0.06966078647077766)	(45, 0.07566752254348907)	(50, 0.08106417064077605)	(55, 0.0854944615364452)	(60, 0.09029671227189655)	(65, 0.09572935648271083)	(70, 0.10090449003521433)	(75, 0.10595502165627717)	(80, 0.1110830833680142)	(85, 0.11627113860229676)	(90, 0.12173424106301878)	(95, 0.1257122730964217)	(100, 0.12951032456218803)	(105, 0.13323638380089978)	(110, 0.13641050263219273)	(115, 0.13942956128213727)	(120, 0.14252615002275598)	(125, 0.14529785076435903)	(130, 0.14770036059798958)	(135, 0.1501434814314971)	(140, 0.15146518488203842)
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R2_paired - polya	(1, 0.0010198898832738336)	(2, 0.0057824525961181605)	(3, 0.006733119184147164)	(4, 0.007485345659140987)	(5, 0.008232957247785154)	(6, 0.009155934517716225)	(7, 0.009935850310807981)	(8, 0.010692691672151458)	(9, 0.011947940759257716)	(10, 0.015193128840335362)	(15, 0.019748021667445194)	(20, 0.025229583673565825)	(25, 0.031143099042014198)	(30, 0.038750277700786095)	(35, 0.0470709177892147)	(40, 0.05593334553509284)	(45, 0.06454472346354974)	(50, 0.07366743079954843)	(55, 0.08117677386770764)	(60, 0.08920575313883802)	(65, 0.0982860035204199)	(70, 0.10887716769287895)	(75, 0.12013379847695829)	(80, 0.13238078387167368)	(85, 0.14467207217534575)	(90, 0.15637357800353185)	(95, 0.16806493108174875)	(100, 0.18112505945127338)	(105, 0.193342509573351)	(110, 0.20526922185540028)	(115, 0.2173593011142274)	(120, 0.23048219193810734)	(125, 0.24236090940212024)	(130, 0.2538907414580992)	(135, 0.264953547015493)	(140, 0.2715260681546722)
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R1_paired - polya	(1, 0.0011739331287009042)	(2, 0.003446249234255624)	(3, 0.00514322187574406)	(4, 0.00817103949976966)	(5, 0.00982733129026351)	(6, 0.01172189663658279)	(7, 0.01337818842707664)	(8, 0.0149240607648709)	(9, 0.017574127629661058)	(10, 0.02733636955833323)	(15, 0.0365221057129107)	(20, 0.04451647408836102)	(25, 0.05315476221955421)	(30, 0.06135137253994903)	(35, 0.06793469654090142)	(40, 0.07487601203060619)	(45, 0.0807665992546222)	(50, 0.0863084934701132)	(55, 0.09050675729275445)	(60, 0.0952117882877854)	(65, 0.10034571168330216)	(70, 0.10522973842270926)	(75, 0.10986619312606363)	(80, 0.11455030254058307)	(85, 0.11935412988802944)	(90, 0.1248169870215881)	(95, 0.12852010677212383)	(100, 0.13242314384754722)	(105, 0.13615183441870812)	(110, 0.13907039490006254)	(115, 0.14198546845133173)	(120, 0.14459834139521258)	(125, 0.14650917908192967)	(130, 0.1484479122093288)	(135, 0.15000773226746406)	(140, 0.15093176874005534)
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R2_paired - polya	(1, 0.0015749300885046782)	(2, 0.009676230986569334)	(3, 0.01121629177422151)	(4, 0.012454151954485335)	(5, 0.013732692985743745)	(6, 0.014825264412455477)	(7, 0.015987574440872215)	(8, 0.017033653466447276)	(9, 0.018957276563476975)	(10, 0.025107058923829927)	(15, 0.03193098110066459)	(20, 0.04030774947546402)	(25, 0.05018970933706311)	(30, 0.06274149533393544)	(35, 0.07648581141996336)	(40, 0.09291622598166235)	(45, 0.1084900180524182)	(50, 0.12562595480136615)	(55, 0.13966084839449824)	(60, 0.1550114769397981)	(65, 0.17157323253470816)	(70, 0.19058629997954915)	(75, 0.21169966164573917)	(80, 0.2338672385077032)	(85, 0.25522584758988914)	(90, 0.2754570159445109)	(95, 0.2969086098289701)	(100, 0.3207220176911723)	(105, 0.34307672646771137)	(110, 0.36498278357328157)	(115, 0.38590320177475446)	(120, 0.40708049049250733)	(125, 0.42766500109576777)	(130, 0.44694539984714454)	(135, 0.4664292028534944)	(140, 0.476611038702425)
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R2_paired - polyg	(1, 0.07634052266641127)	(2, 0.10675817611007726)	(3, 0.10902468066548991)	(4, 0.10957677792898786)	(5, 0.1099893979890758)	(6, 0.11011144054205955)	(7, 0.11021604844461706)	(8, 0.11027997549617997)	(9, 0.11039620649902165)	(10, 0.11073792564737617)	(15, 0.11108196941578752)	(20, 0.11148064175553447)	(25, 0.1118014393233775)	(30, 0.11226520102471578)	(35, 0.11323689220847215)	(40, 0.11438990375666155)	(45, 0.11573120952945445)	(50, 0.11684818946676297)	(55, 0.1180314210756912)	(60, 0.11903100770012957)	(65, 0.12018053231823374)	(70, 0.12143117790881015)	(75, 0.12238775906219712)	(80, 0.123268790063737)	(85, 0.12405683626300357)	(90, 0.1247867669608493)	(95, 0.1254295244065637)	(100, 0.1262536022167112)	(105, 0.12713695783830795)	(110, 0.12786921315621047)	(115, 0.1284712897509303)	(120, 0.12903733473476928)	(125, 0.1294546040349709)	(130, 0.1298846587454851)	(135, 0.1302333517540101)	(140, 0.13041699673849994)
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R1_paired - polya	(1, 0.0011734727400684367)	(2, 0.002890304453164671)	(3, 0.004552343664779111)	(4, 0.007401553741832436)	(5, 0.009278196917583905)	(6, 0.011040689048581635)	(7, 0.01275295471988772)	(8, 0.014574805394157394)	(9, 0.017277902133925934)	(10, 0.027059276856784314)	(15, 0.03635756435824488)	(20, 0.04446320174411838)	(25, 0.05366742878470186)	(30, 0.06255933856683911)	(35, 0.0699864621426964)	(40, 0.07753504243017165)	(45, 0.08444985611717412)	(50, 0.09082313724786488)	(55, 0.09547045458187911)	(60, 0.10075062530800805)	(65, 0.10642621525316395)	(70, 0.1119995258622205)	(75, 0.11720207387791692)	(80, 0.12249685593777435)	(85, 0.1281523552990536)	(90, 0.1344388816357315)	(95, 0.1387373533769783)	(100, 0.14267419460844524)	(105, 0.14636720920831822)	(110, 0.14976069146675736)	(115, 0.1531751775174312)	(120, 0.1566344107776485)	(125, 0.15937403585173826)	(130, 0.16166070958024514)	(135, 0.16394738330875205)	(140, 0.16519025988403077)
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R1_paired - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0017122656713060846)	(4, 0.002433700274149715)	(5, 0.003045549874029756)	(6, 0.003337776548599328)	(7, 0.003675663641070395)	(8, 0.003981588441010416)	(9, 0.0047852117960767385)	(10, 0.007448127368091961)	(15, 0.01066627362178937)	(20, 0.013546532783015713)	(25, 0.018161887824498884)	(30, 0.022234797101312292)	(35, 0.02819530805417353)	(40, 0.034312890844615904)	(45, 0.037637882476202825)	(50, 0.040089846917513126)	(55, 0.04338561588164308)	(60, 0.04718364944268948)	(65, 0.050931456544044254)	(70, 0.05404458383656822)	(75, 0.05663626915665711)	(80, 0.059089146806325446)	(85, 0.06320132404253413)	(90, 0.06893444611424593)	(95, 0.07225121887061056)	(100, 0.07583099563408784)	(105, 0.08126641178108186)	(110, 0.09019941593933045)	(115, 0.09759366401429866)	(120, 0.09954975631719873)	(125, 0.10200172075850904)	(130, 0.10339984275465283)	(135, 0.10451213053473325)	(140, 0.10504635742418077)
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R2_paired - polya	(1, 0.001397208787785765)	(2, 0.0072600064463377995)	(3, 0.008616120858012218)	(4, 0.009684574636907216)	(5, 0.010629745287468174)	(6, 0.011871708654388854)	(7, 0.012889935973592207)	(8, 0.013899031209215259)	(9, 0.01544235333428581)	(10, 0.020051315917262773)	(15, 0.025434679187849106)	(20, 0.03230657208202419)	(25, 0.041032277943)	(30, 0.05129308705382409)	(35, 0.06211186647140445)	(40, 0.07442191513764766)	(45, 0.08707715656322619)	(50, 0.0989351670922446)	(55, 0.10915762145203142)	(60, 0.1195060985652264)	(65, 0.13083901428837758)	(70, 0.14447230186540613)	(75, 0.1588535070876612)	(80, 0.174295860421947)	(85, 0.18976195717354158)	(90, 0.20403996985133926)	(95, 0.21807415589754298)	(100, 0.23351376960675468)	(105, 0.24848125459486492)	(110, 0.2628971617347251)	(115, 0.2792180215094357)	(120, 0.2958201494584195)	(125, 0.3099849242998215)	(130, 0.3237186647962333)	(135, 0.3375976054215719)	(140, 0.3453206085054309)
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R1_paired - polya	(1, 0.00023744576517572918)	(2, 0.002323243859268409)	(3, 0.004139005592965162)	(4, 0.006862648193510291)	(5, 0.008846018702625205)	(6, 0.010880603004229002)	(7, 0.012691708938608584)	(8, 0.014395731488693228)	(9, 0.017156620483775725)	(10, 0.02649336043443077)	(15, 0.035743502517786435)	(20, 0.0431713647484013)	(25, 0.051697064458005135)	(30, 0.06007470974932292)	(35, 0.06802029686400722)	(40, 0.07573309401283297)	(45, 0.08288067712455413)	(50, 0.0896939738453024)	(55, 0.09517012500215913)	(60, 0.10110347565196205)	(65, 0.10727054742748698)	(70, 0.11339944164861109)	(75, 0.11931044446169159)	(80, 0.12531083862166179)	(85, 0.13113338124771606)	(90, 0.13786846053993584)	(95, 0.1428855498841195)	(100, 0.1472331352864939)	(105, 0.1516533511582162)	(110, 0.15546551963911595)	(115, 0.15895085100795028)	(120, 0.16261589623042744)	(125, 0.16548200629007798)	(130, 0.16776148563576498)	(135, 0.17022067883509479)	(140, 0.17169656721863805)
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R1_paired - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0003305617515191524)	(4, 0.0008007974825534396)	(5, 0.0012291310197331863)	(6, 0.0014386419890058885)	(7, 0.0016341855603270773)	(8, 0.001825073332331095)	(9, 0.0023604902538057783)	(10, 0.004448150667625326)	(15, 0.007142927312403994)	(20, 0.010020211290415772)	(25, 0.014157354563654065)	(30, 0.018205106490002673)	(35, 0.0240350983949644)	(40, 0.03028131875888123)	(45, 0.033648392825059416)	(50, 0.03592787217074641)	(55, 0.03910592078464744)	(60, 0.042349150588988874)	(65, 0.04638479743711284)	(70, 0.04926115025526118)	(75, 0.051741760131449974)	(80, 0.05414601489883717)	(85, 0.05836510024005768)	(90, 0.0642332696994202)	(95, 0.06784989460899876)	(100, 0.07125235274998744)	(105, 0.07671639882861951)	(110, 0.08587621840522205)	(115, 0.09381063160154515)	(120, 0.0957977267501138)	(125, 0.0981368003270606)	(130, 0.09942738789778043)	(135, 0.1003836890775274)	(140, 0.10083995741061016)
