Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R2_paired - polya	(1, 0.0013556363697850955)	(2, 0.006213333361515022)	(3, 0.007419558195920576)	(4, 0.008396199451572205)	(5, 0.009493098772285415)	(6, 0.010582709725419134)	(7, 0.011399006894321986)	(8, 0.01222988079838382)	(9, 0.013749505438707434)	(10, 0.017941045633672)	(15, 0.023401490624225724)	(20, 0.03017165526881377)	(25, 0.03706863750928492)	(30, 0.0458037460533034)	(35, 0.05470357170461835)	(40, 0.06443135591296333)	(45, 0.07388655517383541)	(50, 0.08337746743584697)	(55, 0.09117747841941691)	(60, 0.09876612674318165)	(65, 0.10672866832377421)	(70, 0.11649726739056435)	(75, 0.12655740116053407)	(80, 0.13740394979233073)	(85, 0.1476856499367169)	(90, 0.1579950458779052)	(95, 0.16766816732940398)	(100, 0.17843235740755242)	(105, 0.18889408023115203)	(110, 0.19950011273282553)	(115, 0.21108788834745634)	(120, 0.22302259025887078)	(125, 0.23311041982564257)	(130, 0.24312755222689328)	(135, 0.2534413211886292)	(140, 0.25926545572139953)
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R1_paired - polya	(1, 0.0011299643651879385)	(2, 0.003006131613047157)	(3, 0.004673362053758417)	(4, 0.007530253090271318)	(5, 0.009500228700523498)	(6, 0.011521372508444564)	(7, 0.013325051476272859)	(8, 0.014847305356922271)	(9, 0.017951509348834795)	(10, 0.02738607219568322)	(15, 0.03701677980026239)	(20, 0.04490776868409936)	(25, 0.05393724996606909)	(30, 0.06306736203678763)	(35, 0.07067180901367884)	(40, 0.07832060176188307)	(45, 0.08548414943552737)	(50, 0.09150408789127201)	(55, 0.09649469277057754)	(60, 0.10202341652870084)	(65, 0.1081166960677709)	(70, 0.11371876090921966)	(75, 0.11856524203175778)	(80, 0.12371617393042585)	(85, 0.12912891644049967)	(90, 0.13544563044272387)	(95, 0.13993734539475772)	(100, 0.14388838305809035)	(105, 0.14789485293556429)	(110, 0.15138452401658242)	(115, 0.1548255853098151)	(120, 0.15790676361277667)	(125, 0.16047455433246033)	(130, 0.1627856512605051)	(135, 0.16494836041531008)	(140, 0.1661857779956027)
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R1_paired - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0018889592972764404)	(4, 0.0026053140646408695)	(5, 0.0031468441566365984)	(6, 0.003428269243815481)	(7, 0.003914367121669915)	(8, 0.004153152044124725)	(9, 0.00471600221848249)	(10, 0.007110673869386438)	(15, 0.010454515587048253)	(20, 0.013601359743684854)	(25, 0.01776389262404887)	(30, 0.022491834088654107)	(35, 0.029459237004567658)	(40, 0.036181032571670546)	(45, 0.03961782984843085)	(50, 0.0417728637735855)	(55, 0.04489241822479869)	(60, 0.048362474830043765)	(65, 0.052070463554449165)	(70, 0.05508000638067424)	(75, 0.05757019200056013)	(80, 0.05974057638501544)	(85, 0.06377518877120725)	(90, 0.06955207828802468)	(95, 0.0727074504776061)	(100, 0.07598733194818179)	(105, 0.0812917684398565)	(110, 0.09005943911042041)	(115, 0.09711638637225453)	(120, 0.0989439438323283)	(125, 0.10105122077299197)	(130, 0.10233298412459764)	(135, 0.10341007468552772)	(140, 0.10397804167965237)
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R2_paired - polya	(1, 0.001816471017245516)	(2, 0.008698593603710923)	(3, 0.010186735352581076)	(4, 0.01116319512476235)	(5, 0.012450928099429359)	(6, 0.013696020909372296)	(7, 0.014621312483884683)	(8, 0.01583655717852077)	(9, 0.017793740739355725)	(10, 0.022701623699096545)	(15, 0.029169283884443963)	(20, 0.03689909294562394)	(25, 0.04530091100285531)	(30, 0.055783569098621456)	(35, 0.06683589979510121)	(40, 0.07972602159118854)	(45, 0.09206437965574635)	(50, 0.10484960664661243)	(55, 0.11509177421333479)	(60, 0.12485551913185308)	(65, 0.13583109753182948)	(70, 0.14814984112061422)	(75, 0.16119602591959165)	(80, 0.17525534103241305)	(85, 0.188782506889478)	(90, 0.2021305840547019)	(95, 0.2154496659079134)	(100, 0.23015711152454071)	(105, 0.2441226182749691)	(110, 0.25798152461358737)	(115, 0.2722617157796795)	(120, 0.28740920789625923)	(125, 0.30143952769706817)	(130, 0.3147142637789667)	(135, 0.32806234094419057)	(140, 0.33554824826314883)
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R1_paired - polya	(1, 0.001216326928863407)	(2, 0.0031801420431010535)	(3, 0.005099727087198212)	(4, 0.007718147239515074)	(5, 0.009673116339724622)	(6, 0.011283090892838368)	(7, 0.012963833558176895)	(8, 0.014693229300669958)	(9, 0.017643374979040477)	(10, 0.02677599986164834)	(15, 0.036247427081532335)	(20, 0.04463167917736316)	(25, 0.05443925493031486)	(30, 0.06357984122554802)	(35, 0.07107683811436065)	(40, 0.07866583354906549)	(45, 0.08569045328877774)	(50, 0.0920011996964225)	(55, 0.09719469453231855)	(60, 0.10335771250569406)	(65, 0.10957999877305787)	(70, 0.11548736694102135)	(75, 0.12082859021118664)	(80, 0.1261131989915721)	(85, 0.1314491146533205)	(90, 0.1375360569060544)	(95, 0.1421713682567775)	(100, 0.14605742221932072)	(105, 0.15011331965120342)	(110, 0.15390206745943757)	(115, 0.15726974499993432)	(120, 0.16087007270937)	(125, 0.16384144882140797)	(130, 0.16651648346350462)	(135, 0.16938259200860822)	(140, 0.17095364409999836)
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R1_paired - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0015303604268608686)	(4, 0.002308809661333449)	(5, 0.0028926465871878843)	(6, 0.0031801420431010535)	(7, 0.00347648351304232)	(8, 0.003755132954927391)	(9, 0.004387622957936363)	(10, 0.007044080970574043)	(15, 0.010488718833115213)	(20, 0.013532632260183563)	(25, 0.017894601777438447)	(30, 0.022119458077257813)	(35, 0.028115286385502303)	(40, 0.03401027013382648)	(45, 0.037538945129634585)	(50, 0.04025467143626051)	(55, 0.04372053973246911)	(60, 0.04730317541384861)	(65, 0.05116534513851597)	(70, 0.053928839920893645)	(75, 0.05648887638062505)	(80, 0.0589064920145041)	(85, 0.0628712755018974)	(90, 0.06856722393458939)	(95, 0.07204547665043733)	(100, 0.07560953570235782)	(105, 0.08096048958795399)	(110, 0.08996838567276569)	(115, 0.09743442151247998)	(120, 0.09934958354956308)	(125, 0.10137001315358056)	(130, 0.10281899025138293)	(135, 0.10386281990669843)	(140, 0.10440508056662082)
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R2_paired - polya	(1, 0.0010128686062171645)	(2, 0.006554896394820252)	(3, 0.008111794863765414)	(4, 0.009058318364771846)	(5, 0.010155224104255936)	(6, 0.011044248514079737)	(7, 0.011875773832720902)	(8, 0.012924026495050455)	(9, 0.014569385104276592)	(10, 0.019235657504098027)	(15, 0.025023604482682225)	(20, 0.03191111100495894)	(25, 0.04004855930940583)	(30, 0.04959340844572305)	(35, 0.05966017240969801)	(40, 0.07101580061756678)	(45, 0.08171151617893947)	(50, 0.09261511306997246)	(55, 0.10163450897302066)	(60, 0.110355794203322)	(65, 0.12023767647410973)	(70, 0.13122619509981243)	(75, 0.14293831767301354)	(80, 0.15479286107206702)	(85, 0.1664766764003782)	(90, 0.17782788160123292)	(95, 0.18846875187563142)	(100, 0.20036133313500568)	(105, 0.21194165009918814)	(110, 0.22399699801667944)	(115, 0.23667068231473473)	(120, 0.24959205500557674)	(125, 0.26051688233027714)	(130, 0.2714063255988652)	(135, 0.28226215401414645)	(140, 0.28843755640716134)
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R1_paired - polya	(1, 0.0010430747036438016)	(2, 0.0026691780625994225)	(3, 0.004504807344557728)	(4, 0.006800482674848016)	(5, 0.008526794083935356)	(6, 0.009993475544954151)	(7, 0.011678792751714878)	(8, 0.013291231376561628)	(9, 0.015951299616421805)	(10, 0.02516041942352677)	(15, 0.034427842096162925)	(20, 0.04220216482183646)	(25, 0.05140308578847611)	(30, 0.06097842046969883)	(35, 0.0687390784612635)	(40, 0.07607886264227495)	(45, 0.08314717410565682)	(50, 0.0899021076668086)	(55, 0.09523955280973354)	(60, 0.10119191098755762)	(65, 0.10715702291721667)	(70, 0.11299004241715664)	(75, 0.11885403531441005)	(80, 0.124299887347932)	(85, 0.13080612274830233)	(90, 0.1377960897361267)	(95, 0.14287299394870914)	(100, 0.14739966486784106)	(105, 0.15178786648133644)	(110, 0.15581714107890546)	(115, 0.15990107461290998)	(120, 0.16392852724593115)	(125, 0.16707688198461496)	(130, 0.17015418010593267)	(135, 0.17287528415814576)	(140, 0.17443033089973528)
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R2_paired - polya	(1, 0.001093178728709661)	(2, 0.005420344529852069)	(3, 0.006545407638149096)	(4, 0.0074199506211168244)	(5, 0.008335487806411166)	(6, 0.009264689725814377)	(7, 0.009947926431257916)	(8, 0.010808804680116774)	(9, 0.012266376318396322)	(10, 0.016316603508265616)	(15, 0.021248661539294035)	(20, 0.027255678653553623)	(25, 0.03416274625445083)	(30, 0.04229963992514641)	(35, 0.0510268501093452)	(40, 0.059929879872411475)	(45, 0.06906429913305462)	(50, 0.0780055901516257)	(55, 0.0860103913926022)	(60, 0.09335108655588757)	(65, 0.10129940689588075)	(70, 0.11039556490101905)	(75, 0.120282455519924)	(80, 0.13096645562851308)	(85, 0.14145368356593443)	(90, 0.15232990093432164)	(95, 0.16249919605814328)	(100, 0.17342551745159632)	(105, 0.1840284401378061)	(110, 0.19484726562293606)	(115, 0.20652788033919878)	(120, 0.21842166490755988)	(125, 0.22901274482420866)	(130, 0.2395145484780128)	(135, 0.2501757740297538)	(140, 0.25596779932736713)
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R1_paired - polya	(1, 0.0007658004888453341)	(2, 0.0023174485997518486)	(3, 0.003929238110305902)	(4, 0.0063950354958550145)	(5, 0.008191258631994856)	(6, 0.009863189542196449)	(7, 0.011466960199464164)	(8, 0.013054693150159202)	(9, 0.015696905308007762)	(10, 0.02381358860443967)	(15, 0.03245470490579812)	(20, 0.03946719210470121)	(25, 0.04743151718869267)	(30, 0.05560753999944349)	(35, 0.06232252774142342)	(40, 0.06915298697072661)	(45, 0.07500113667245334)	(50, 0.08037216460364291)	(55, 0.0849453166328418)	(60, 0.09036766522506395)	(65, 0.09667930464674104)	(70, 0.1017087294279326)	(75, 0.10625221169997204)	(80, 0.11099375964818406)	(85, 0.11595582606177035)	(90, 0.12177029657969445)	(95, 0.12587274192098527)	(100, 0.1294379240920914)	(105, 0.13317631349418244)	(110, 0.13638706235003242)	(115, 0.13960262251785419)	(120, 0.14294087114095694)	(125, 0.1455854889547914)	(130, 0.1476527493320095)	(135, 0.14983548119655082)	(140, 0.15107519591461877)
