Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R1_paired	(1, 20.01971205958958)	(2, 35.748612071456506)	(3, 36.05462913462143)	(4, 36.18744681610504)	(5, 36.27844470089039)	(6, 36.275619372469954)	(7, 36.2174158289602)	(8, 36.32273775465076)	(9, 36.30519973569879)	(10, 36.39360456185405)	(15, 36.40501307153377)	(20, 36.40513680073199)	(25, 36.33111627452949)	(30, 36.32301597948397)	(35, 36.31354030617735)	(40, 36.28724350374162)	(45, 36.279141784487834)	(50, 36.23508971055917)	(55, 36.25146885918065)	(60, 36.26860564734835)	(65, 36.233306482744965)	(70, 36.22057371666675)	(75, 36.200867327961774)	(80, 36.18544644917021)	(85, 36.176971698288945)	(90, 36.14229620432079)	(95, 36.12348878759322)	(100, 36.06165820663868)	(105, 36.07759587210431)	(110, 36.01687437534472)	(115, 36.0109250817162)	(120, 35.94214013556428)	(125, 35.933707424924926)	(130, 35.90737216311226)	(135, 35.854998747847766)	(140, 35.8166878274395)	(145, 35.838292147809355)	(150, 36.06790229316734)
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R2_paired	(1, 18.08165432669825)	(2, 36.08609263731657)	(3, 36.03243413158437)	(4, 36.15316320413774)	(5, 36.16445611410615)	(6, 36.21733988592977)	(7, 36.217991483323075)	(8, 36.204833170146486)	(9, 36.298796283064135)	(10, 36.289940706494875)	(15, 36.28461348646491)	(20, 36.26678515017856)	(25, 36.265531953063224)	(30, 36.19806242216337)	(35, 36.19617193165941)	(40, 36.143772169493346)	(45, 36.11722912056511)	(50, 36.082434317801344)	(55, 36.0769654846254)	(60, 36.06258301104342)	(65, 36.04510796858829)	(70, 36.02644062486185)	(75, 35.98960510609527)	(80, 35.9932650243524)	(85, 35.93385407939725)	(90, 35.90990593431128)	(95, 35.895062541421154)	(100, 35.80471083603955)	(105, 35.74865268141441)	(110, 35.75240584055498)	(115, 35.692950733614715)	(120, 35.654537333761525)	(125, 35.57749708477826)	(130, 35.55778943109425)	(135, 35.447958430662055)	(140, 35.33424874410418)	(145, 35.28534774969754)	(150, 35.75267153751305)
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R1_paired	(1, 20.99912149424414)	(2, 35.78805282276056)	(3, 36.11992844780828)	(4, 36.24824895542218)	(5, 36.334132993573384)	(6, 36.331422274719095)	(7, 36.27746770977781)	(8, 36.3765961548167)	(9, 36.35527356706588)	(10, 36.442917659409595)	(15, 36.45464929824302)	(20, 36.45304190645997)	(25, 36.38410275807172)	(30, 36.37743025018671)	(35, 36.36785219166849)	(40, 36.347017881306655)	(45, 36.336459769838505)	(50, 36.29733646429321)	(55, 36.30890792953122)	(60, 36.33008772284629)	(65, 36.29718511404375)	(70, 36.28475694222203)	(75, 36.27154113991817)	(80, 36.253166004534805)	(85, 36.24988337349224)	(90, 36.2140355175399)	(95, 36.20195518286072)	(100, 36.13888901348114)	(105, 36.1609646685038)	(110, 36.098403066806746)	(115, 36.09987044843528)	(120, 36.030924639640034)	(125, 36.02371319030337)	(130, 35.99675957696902)	(135, 35.94950939038773)	(140, 35.90901530815598)	(145, 35.923989422198424)	(150, 36.12447790431278)
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R2_paired	(1, 18.034654631133257)	(2, 36.14805074389901)	(3, 36.07631890647146)	(4, 36.19206512575837)	(5, 36.214329896926)	(6, 36.262034303584116)	(7, 36.262276989261885)	(8, 36.24252393287081)	(9, 36.338088842999674)	(10, 36.33069479160461)	(15, 36.32794317875604)	(20, 36.30972169309335)	(25, 36.31197926203512)	(30, 36.24438270110253)	(35, 36.245395922917055)	(40, 36.19484271071157)	(45, 36.17053020625914)	(50, 36.13592321994557)	(55, 36.13331421084502)	(60, 36.120122778275594)	(65, 36.10450467664989)	(70, 36.087230468007775)	(75, 36.04824831471857)	(80, 36.05212692278948)	(85, 35.993393787230396)	(90, 35.97201811214268)	(95, 35.95292962101202)	(100, 35.864382739394316)	(105, 35.8102814456199)	(110, 35.81297675632198)	(115, 35.75372191413634)	(120, 35.716992455577596)	(125, 35.64170437227461)	(130, 35.623132084958)	(135, 35.514856999016295)	(140, 35.40655929278942)	(145, 35.353067268963585)	(150, 35.80350146517915)
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R1_paired	(1, 19.77294003477456)	(2, 35.72237102095479)	(3, 35.98919980745129)	(4, 36.123866505017276)	(5, 36.23012817896413)	(6, 36.22471689638944)	(7, 36.16972809110957)	(8, 36.27560622330373)	(9, 36.26288046351538)	(10, 36.355693486068965)	(15, 36.36590124573688)	(20, 36.36579242187893)	(25, 36.28909348547557)	(30, 36.2776753280172)	(35, 36.27384651000661)	(40, 36.24118162293732)	(45, 36.232737674200564)	(50, 36.183790006282265)	(55, 36.206138303788876)	(60, 36.219284478127506)	(65, 36.18204670872224)	(70, 36.16950181130567)	(75, 36.142010782431974)	(80, 36.12932522983106)	(85, 36.11448358876352)	(90, 36.0813805379215)	(95, 36.05151395847081)	(100, 35.99606928603508)	(105, 36.00116018428715)	(110, 35.93809129129107)	(115, 35.92237543543026)	(120, 35.855097740802655)	(125, 35.83877603568235)	(130, 35.8118511877622)	(135, 35.754325883627786)	(140, 35.71628788358079)	(145, 35.74107512982311)	(150, 36.0018703147149)
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R2_paired	(1, 18.259121465660343)	(2, 36.08183648740226)	(3, 36.02316157564373)	(4, 36.14794038559939)	(5, 36.160512103216114)	(6, 36.20500647482309)	(7, 36.18949043475095)	(8, 36.19667993813615)	(9, 36.28756674392297)	(10, 36.27687991390318)	(15, 36.266903698623906)	(20, 36.24865476920096)	(25, 36.24629622397812)	(30, 36.178391812558345)	(35, 36.17489527177137)	(40, 36.12255056307987)	(45, 36.093470231731224)	(50, 36.05916051091712)	(55, 36.048361285249094)	(60, 36.03380294387232)	(65, 36.01991362721715)	(70, 35.99730331794414)	(75, 35.96131043554219)	(80, 35.957792179672744)	(85, 35.900398558909224)	(90, 35.88083659022177)	(95, 35.86520745591352)	(100, 35.77257881363583)	(105, 35.72079321492935)	(110, 35.72925284981743)	(115, 35.671638357651844)	(120, 35.63084498645051)	(125, 35.554546919220876)	(130, 35.538061469305156)	(135, 35.428825628364464)	(140, 35.32119196186325)	(145, 35.26997470753151)	(150, 35.74601874234887)
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R1_paired	(1, 18.708383868495297)	(2, 35.43628549479571)	(3, 34.93635106876788)	(4, 35.109484698417944)	(5, 35.39245835613411)	(6, 35.40855121942325)	(7, 35.36812217452518)	(8, 35.430883825108836)	(9, 35.55263799586609)	(10, 35.71089168300158)	(15, 35.76186470409003)	(20, 35.791643887857745)	(25, 35.67331667659246)	(30, 35.65371883506356)	(35, 35.63404418301751)	(40, 35.57925407574639)	(45, 35.55758097726527)	(50, 35.49606191983691)	(55, 35.512137996929916)	(60, 35.55026550652751)	(65, 35.502269820186356)	(70, 35.50193976614534)	(75, 35.44309719817953)	(80, 35.42692290703191)	(85, 35.41779756532187)	(90, 35.37029650840877)	(95, 35.34982167848143)	(100, 35.27755815350358)	(105, 35.30158973621169)	(110, 35.2169417236811)	(115, 35.212355725201135)	(120, 35.11585966505242)	(125, 35.1252806042616)	(130, 35.10859253774065)	(135, 35.03016538490625)	(140, 34.99982964441574)	(145, 35.05806744846274)	(150, 35.54528209436273)
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R2_paired	(1, 18.06119287293302)	(2, 36.30738288235941)	(3, 36.32687219182485)	(4, 36.43641202949576)	(5, 36.45677873408623)	(6, 36.4820666719243)	(7, 36.485264309240264)	(8, 36.47755810436081)	(9, 36.554939235884184)	(10, 36.53484121982087)	(15, 36.52651659856273)	(20, 36.5126424751066)	(25, 36.51000126095344)	(30, 36.44983330810694)	(35, 36.448121783497804)	(40, 36.40089989018282)	(45, 36.3740858911393)	(50, 36.338781347626444)	(55, 36.330537583158645)	(60, 36.31270982174166)	(65, 36.29283031139495)	(70, 36.267127858165566)	(75, 36.231828012118406)	(80, 36.22937167622949)	(85, 36.17870178009592)	(90, 36.15634052594207)	(95, 36.13766432997249)	(100, 36.053337735565314)	(105, 35.99861609176791)	(110, 35.99633858845992)	(115, 35.93488757073089)	(120, 35.89495545015335)	(125, 35.81748865227225)	(130, 35.792882032617214)	(135, 35.679735911315035)	(140, 35.5688022929127)	(145, 35.51312601119364)	(150, 35.883253839055186)
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R1_paired	(1, 21.16502447913749)	(2, 35.887643904692546)	(3, 36.1750143837998)	(4, 36.289121601132564)	(5, 36.361139697153206)	(6, 36.34964416213366)	(7, 36.296116251781854)	(8, 36.4156156710943)	(9, 36.378098964099635)	(10, 36.457832934944314)	(15, 36.46462131034416)	(20, 36.460878109857546)	(25, 36.389799473824155)	(30, 36.382736283368416)	(35, 36.37149491031356)	(40, 36.33221880004873)	(45, 36.319058579191825)	(50, 36.288951698888134)	(55, 36.29846596419737)	(60, 36.30678275149429)	(65, 36.280943772489096)	(70, 36.28319548458994)	(75, 36.26671345543132)	(80, 36.25238725830728)	(85, 36.242817968907545)	(90, 36.21828195087624)	(95, 36.19368749922428)	(100, 36.144819195380904)	(105, 36.15398021637192)	(110, 36.10502288865573)	(115, 36.09674960868643)	(120, 36.04594117449331)	(125, 36.03445221450304)	(130, 36.008226570459236)	(135, 35.96364594280574)	(140, 35.92938942732875)	(145, 35.95145909425604)	(150, 36.14889825778394)
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R2_paired	(1, 18.303924020634415)	(2, 36.1433074424937)	(3, 36.13524284389287)	(4, 36.268743402793525)	(5, 36.266649526157174)	(6, 36.31470875806671)	(7, 36.33587550876856)	(8, 36.318292536252955)	(9, 36.39396360609642)	(10, 36.390850769522174)	(15, 36.38568221673252)	(20, 36.36956734775181)	(25, 36.36632410102363)	(30, 36.302821214481796)	(35, 36.29674171364189)	(40, 36.24658869402212)	(45, 36.21638601583419)	(50, 36.18161252613069)	(55, 36.17506014432678)	(60, 36.158581075374194)	(65, 36.14394087363449)	(70, 36.122065446148085)	(75, 36.09007332088204)	(80, 36.09659069490744)	(85, 36.04173902475304)	(90, 36.02249502959469)	(95, 36.00879867579312)	(100, 35.92527559336279)	(105, 35.87542043471729)	(110, 35.88029180843798)	(115, 35.827004900783365)	(120, 35.791167366802235)	(125, 35.717722292610866)	(130, 35.70150838292931)	(135, 35.59489478574089)	(140, 35.4912629784805)	(145, 35.44069997729865)	(150, 35.851570988246124)
