Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R1_paired	(1, 20.84392926164868)	(2, 35.81824735353224)	(3, 36.155343054763286)	(4, 36.27086727329615)	(5, 36.360324872380346)	(6, 36.35025273172548)	(7, 36.301289721283275)	(8, 36.410225636917275)	(9, 36.38049746507912)	(10, 36.460865951558716)	(15, 36.47267169563219)	(20, 36.470093150941125)	(25, 36.4038913923347)	(30, 36.39646251620625)	(35, 36.38708672247624)	(40, 36.36326631245613)	(45, 36.35524758875944)	(50, 36.315208452138606)	(55, 36.330750484127)	(60, 36.344267772924496)	(65, 36.31207738005156)	(70, 36.300252816397595)	(75, 36.28308691341416)	(80, 36.26904721647126)	(85, 36.26406614932238)	(90, 36.23470074180079)	(95, 36.21888966536027)	(100, 36.16420617022246)	(105, 36.18426348792572)	(110, 36.130898845059)	(115, 36.126520671986015)	(120, 36.071077563149316)	(125, 36.05957137953255)	(130, 36.03434320847868)	(135, 35.98863303585245)	(140, 35.95368680753765)	(145, 35.974828236539466)	(150, 36.15985954836147)
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R2_paired	(1, 18.266634639744854)	(2, 35.99063661474735)	(3, 35.98921505945877)	(4, 36.146834188121574)	(5, 36.16659521411337)	(6, 36.215142128026365)	(7, 36.21334928909293)	(8, 36.20667225021185)	(9, 36.297546793872705)	(10, 36.29373166433111)	(15, 36.28861497934563)	(20, 36.27101736410291)	(25, 36.271549610127906)	(30, 36.20261594808047)	(35, 36.20067919831206)	(40, 36.14310957413524)	(45, 36.12107002328653)	(50, 36.08568786485242)	(55, 36.08083985049213)	(60, 36.065321097112765)	(65, 36.04571195083186)	(70, 36.028292926983305)	(75, 35.99166824756707)	(80, 35.99959633651919)	(85, 35.93903604034678)	(90, 35.91552103266461)	(95, 35.89647511060745)	(100, 35.808772209692066)	(105, 35.75099965324533)	(110, 35.75919910048482)	(115, 35.696454212347746)	(120, 35.66343111269151)	(125, 35.584263040301096)	(130, 35.56733350194804)	(135, 35.45880306869493)	(140, 35.346648312770625)	(145, 35.29627947373003)	(150, 35.76064772753854)
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R1_paired	(1, 21.340791097848765)	(2, 35.794711365449)	(3, 36.14720935270446)	(4, 36.27356709329534)	(5, 36.36053073928201)	(6, 36.35153302286846)	(7, 36.30003771609426)	(8, 36.414487459121496)	(9, 36.39045971284771)	(10, 36.47278925040315)	(15, 36.482033786613826)	(20, 36.47755375319484)	(25, 36.4124287235663)	(30, 36.40434736855409)	(35, 36.393820236802085)	(40, 36.36901631503782)	(45, 36.35871897429961)	(50, 36.320667003252446)	(55, 36.33637561891299)	(60, 36.350349194135774)	(65, 36.31757372065502)	(70, 36.311079565606676)	(75, 36.291992469407695)	(80, 36.27954392555222)	(85, 36.27183749595022)	(90, 36.24549720292647)	(95, 36.23148899769415)	(100, 36.18124086681611)	(105, 36.19960843651394)	(110, 36.14956019636409)	(115, 36.14743030593057)	(120, 36.09300616791461)	(125, 36.08485526820268)	(130, 36.05791229257693)	(135, 36.01365211502702)	(140, 35.97917726990399)	(145, 35.99981327275976)	(150, 36.1788137838737)
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R2_paired	(1, 17.344534459006862)	(2, 36.098823927480446)	(3, 36.0137870617167)	(4, 36.10574417667718)	(5, 36.15060632889809)	(6, 36.19299238959728)	(7, 36.18554752970669)	(8, 36.178074909351665)	(9, 36.280469072026655)	(10, 36.275447310438935)	(15, 36.27409659089523)	(20, 36.256263933724334)	(25, 36.257481677982604)	(30, 36.19184692897644)	(35, 36.18818023281983)	(40, 36.135721238817375)	(45, 36.10990507118497)	(50, 36.07651470633101)	(55, 36.06878708952949)	(60, 36.05762843867829)	(65, 36.04532937941978)	(70, 36.02765504957942)	(75, 35.9965283816693)	(80, 35.99797838661906)	(85, 35.944058722176756)	(90, 35.92110268682162)	(95, 35.908343661306624)	(100, 35.81700961461573)	(105, 35.76559847511714)	(110, 35.77240045323272)	(115, 35.71774083401388)	(120, 35.68022807228057)	(125, 35.60726005893544)	(130, 35.593163127399045)	(135, 35.489857736560715)	(140, 35.386640541997096)	(145, 35.34041140430597)	(150, 35.785576669094276)
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R1_paired	(1, 20.641972340045804)	(2, 35.756534684274854)	(3, 36.10746147251343)	(4, 36.24437361322352)	(5, 36.32096481936296)	(6, 36.32591594214979)	(7, 36.26824801874472)	(8, 36.385130731322135)	(9, 36.357426449532085)	(10, 36.44184049100849)	(15, 36.455478725705255)	(20, 36.45134726381419)	(25, 36.385948765943475)	(30, 36.38204447135696)	(35, 36.37389581426236)	(40, 36.35189995085399)	(45, 36.34130709622986)	(50, 36.30500616508487)	(55, 36.319388205258356)	(60, 36.337036146045435)	(65, 36.303834298507525)	(70, 36.29309226558793)	(75, 36.2777559687201)	(80, 36.262053939509784)	(85, 36.25779756726787)	(90, 36.223504322652616)	(95, 36.21404637935849)	(100, 36.154123599662746)	(105, 36.17525678248033)	(110, 36.112442656092995)	(115, 36.112249938030665)	(120, 36.04719931600921)	(125, 36.04103156298822)	(130, 36.00958342195067)	(135, 35.96885657685692)	(140, 35.93093832258905)	(145, 35.948343861371384)	(150, 36.13781426348431)
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R2_paired	(1, 18.162411844890777)	(2, 36.0381293048936)	(3, 35.96154850691048)	(4, 36.079203978629266)	(5, 36.09466566655436)	(6, 36.15039047081249)	(7, 36.138712891147456)	(8, 36.14853763312857)	(9, 36.24386621560319)	(10, 36.238573909735166)	(15, 36.23300995098734)	(20, 36.21586486458733)	(25, 36.21575926826572)	(30, 36.14558471837317)	(35, 36.146171561822385)	(40, 36.091256939603376)	(45, 36.066779492939716)	(50, 36.02936051665273)	(55, 36.02497663846631)	(60, 36.01153840624387)	(65, 35.995230154748256)	(70, 35.97755745365691)	(75, 35.939326844615735)	(80, 35.941941392181576)	(85, 35.88082244393513)	(90, 35.85737059396881)	(95, 35.83853762289902)	(100, 35.74449083166441)	(105, 35.6844705559983)	(110, 35.691737552072176)	(115, 35.627110221107834)	(120, 35.58786451742223)	(125, 35.51042218706505)	(130, 35.49631791262556)	(135, 35.38747976981215)	(140, 35.2734252091513)	(145, 35.22911096051213)	(150, 35.71718272175143)
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R1_paired	(1, 20.829452121615546)	(2, 35.758231503558584)	(3, 36.11396323393883)	(4, 36.24344540769429)	(5, 36.32408030160682)	(6, 36.32063168933545)	(7, 36.27075815106609)	(8, 36.38886315320601)	(9, 36.3611395465025)	(10, 36.44359223491839)	(15, 36.45409593776475)	(20, 36.449076528937226)	(25, 36.38178299456837)	(30, 36.37407785110217)	(35, 36.36592354074755)	(40, 36.34009895977693)	(45, 36.33228374204152)	(50, 36.29132173754073)	(55, 36.310258028165464)	(60, 36.322740403020894)	(65, 36.28971885310125)	(70, 36.28197801208954)	(75, 36.26488776026274)	(80, 36.24992420647309)	(85, 36.24324694683232)	(90, 36.21312749278334)	(95, 36.19373849240585)	(100, 36.140892701880254)	(105, 36.156887174056486)	(110, 36.0999180952855)	(115, 36.0963189164509)	(120, 36.037980936287966)	(125, 36.02809692681507)	(130, 36.00240101517628)	(135, 35.9561294261347)	(140, 35.923025205295176)	(145, 35.94573281102028)	(150, 36.14601856483897)
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R2_paired	(1, 17.920789121568383)	(2, 36.05237951385495)	(3, 36.04379545605369)	(4, 36.183412104828435)	(5, 36.19440448722013)	(6, 36.246375768228596)	(7, 36.24374925181155)	(8, 36.23520806630447)	(9, 36.333677603855016)	(10, 36.327832268817495)	(15, 36.325656294525)	(20, 36.30869232303503)	(25, 36.308977107671666)	(30, 36.24203304018653)	(35, 36.24023760019264)	(40, 36.18756437651085)	(45, 36.16466692565409)	(50, 36.12710124752337)	(55, 36.12242883428999)	(60, 36.10709141629417)	(65, 36.09219803562684)	(70, 36.07565350398619)	(75, 36.03874251253491)	(80, 36.045274663068184)	(85, 35.98657795407779)	(90, 35.96408732542505)	(95, 35.94441958482932)	(100, 35.856673478335225)	(105, 35.80200645982451)	(110, 35.80804816140905)	(115, 35.75247051711579)	(120, 35.71619541486861)	(125, 35.642271594493764)	(130, 35.62947408455568)	(135, 35.52415904090522)	(140, 35.41715636132527)	(145, 35.368375449372635)	(150, 35.8072820356314)
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R1_paired	(1, 20.262560605024213)	(2, 35.7234103129328)	(3, 36.05123596270914)	(4, 36.19048884028366)	(5, 36.280422055692895)	(6, 36.28092144219661)	(7, 36.22485137396378)	(8, 36.34162168865864)	(9, 36.31854384869792)	(10, 36.399439115672685)	(15, 36.40912781824586)	(20, 36.405820255844205)	(25, 36.3315622091864)	(30, 36.32083479663323)	(35, 36.3144488677444)	(40, 36.281294997016644)	(45, 36.267454732237766)	(50, 36.22345009900404)	(55, 36.24818791518709)	(60, 36.26135636951019)	(65, 36.229978201961536)	(70, 36.22007260295634)	(75, 36.19632207063698)	(80, 36.18131504704313)	(85, 36.16778222701156)	(90, 36.14422160789258)	(95, 36.12072203213549)	(100, 36.071505273505)	(105, 36.08383926844865)	(110, 36.03348298582499)	(115, 36.02004110659688)	(120, 35.967531789766795)	(125, 35.9505789761312)	(130, 35.92788258812519)	(135, 35.880063077226325)	(140, 35.844981779691324)	(145, 35.87277417628624)	(150, 36.09089032383345)
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R2_paired	(1, 17.722473142356886)	(2, 36.03307080043003)	(3, 36.02279818816788)	(4, 36.12533508671675)	(5, 36.14992979938006)	(6, 36.19541796465218)	(7, 36.195462248664256)	(8, 36.18884934387308)	(9, 36.28917779525246)	(10, 36.28375244586353)	(15, 36.27711244762558)	(20, 36.26072244658357)	(25, 36.259778813563905)	(30, 36.191163375285555)	(35, 36.18730842297601)	(40, 36.131278628785665)	(45, 36.105919499685974)	(50, 36.06651755755934)	(55, 36.05719079412558)	(60, 36.043133118747114)	(65, 36.027459809326864)	(70, 36.009550413913225)	(75, 35.976650120082546)	(80, 35.974210721122134)	(85, 35.91557212386102)	(90, 35.89310041750436)	(95, 35.879801051780056)	(100, 35.787647828460436)	(105, 35.7333659626367)	(110, 35.73563212250984)	(115, 35.67730384815995)	(120, 35.6412497875179)	(125, 35.56413466808823)	(130, 35.55036126335022)	(135, 35.44389708811807)	(140, 35.33599822152252)	(145, 35.28927746232494)	(150, 35.752609327590605)
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R1_paired	(1, 20.920770179838577)	(2, 35.751828733982265)	(3, 36.09696396119102)	(4, 36.24104203100826)	(5, 36.329408911735534)	(6, 36.3265222601158)	(7, 36.26860211132859)	(8, 36.372692978847766)	(9, 36.351108979682806)	(10, 36.439812669916684)	(15, 36.450801296956776)	(20, 36.44784863863693)	(25, 36.37464570141183)	(30, 36.3676013125909)	(35, 36.356949047585324)	(40, 36.33572758300642)	(45, 36.323731312731994)	(50, 36.28423863234656)	(55, 36.29646244279488)	(60, 36.31796464794904)	(65, 36.28341269841485)	(70, 36.271687310589)	(75, 36.254346071910895)	(80, 36.2363662014791)	(85, 36.23148070410754)	(90, 36.19493741690046)	(95, 36.18481957311377)	(100, 36.12174732290013)	(105, 36.14362512895134)	(110, 36.0799522499121)	(115, 36.08190871353696)	(120, 36.01652898278719)	(125, 36.008890897986035)	(130, 35.98107803282589)	(135, 35.93465707577608)	(140, 35.89613706863729)	(145, 35.91439005039538)	(150, 36.1186776694167)
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R2_paired	(1, 17.7756388611616)	(2, 36.090007048598714)	(3, 36.0388032733223)	(4, 36.16621583853052)	(5, 36.180045739867026)	(6, 36.23163333661632)	(7, 36.22762905494761)	(8, 36.22258878405714)	(9, 36.321602258766085)	(10, 36.31333546750126)	(15, 36.31048589214087)	(20, 36.293210976198274)	(25, 36.29316169947528)	(30, 36.224518484638494)	(35, 36.222955775099976)	(40, 36.169726868968795)	(45, 36.1449268604577)	(50, 36.10953976728486)	(55, 36.10333515060474)	(60, 36.08892114099696)	(65, 36.07207072200583)	(70, 36.05376626664746)	(75, 36.01709046954043)	(80, 36.018033573808026)	(85, 35.9593756031005)	(90, 35.935373776346765)	(95, 35.916481564079746)	(100, 35.82435139236245)	(105, 35.771760526645)	(110, 35.77805525162972)	(115, 35.72101302574752)	(120, 35.68354717472194)	(125, 35.608647921776694)	(130, 35.5955645675913)	(135, 35.4874305679142)	(140, 35.38274219373642)	(145, 35.329061562776246)	(150, 35.79191666719386)
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R1_paired	(1, 17.697818511262543)	(2, 35.55613555434205)	(3, 35.26906143601891)	(4, 35.44192483966242)	(5, 35.64794619423092)	(6, 35.65935318190594)	(7, 35.606522244082235)	(8, 35.68400647733424)	(9, 35.75105701775848)	(10, 35.903665729624976)	(15, 35.93687158872494)	(20, 35.955930671237304)	(25, 35.849923381838536)	(30, 35.83419995605857)	(35, 35.82597282344757)	(40, 35.78461587025107)	(45, 35.78175690218757)	(50, 35.71033680435706)	(55, 35.74176298625794)	(60, 35.76575231229375)	(65, 35.71893533731962)	(70, 35.707026816959626)	(75, 35.65480642305447)	(80, 35.64230121336623)	(85, 35.6265661496759)	(90, 35.582985676925276)	(95, 35.54840826036998)	(100, 35.485253632087286)	(105, 35.48999219712967)	(110, 35.425718445663016)	(115, 35.409980792601964)	(120, 35.330295124850394)	(125, 35.32926605053207)	(130, 35.31635667356613)	(135, 35.24633963191575)	(140, 35.21882691042225)	(145, 35.265279348502176)	(150, 35.68374274369537)
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R2_paired	(1, 17.87474777789174)	(2, 36.30369671862523)	(3, 36.30664309466511)	(4, 36.39727446714493)	(5, 36.40919694492036)	(6, 36.44640153037986)	(7, 36.44611985452117)	(8, 36.451070179703144)	(9, 36.531344633485936)	(10, 36.514200565037115)	(15, 36.50753949433084)	(20, 36.49500925782415)	(25, 36.492082054365866)	(30, 36.43092063449792)	(35, 36.43260156428339)	(40, 36.38509402084094)	(45, 36.36280190472475)	(50, 36.32838236794345)	(55, 36.321302407289295)	(60, 36.30424933395638)	(65, 36.285972780184956)	(70, 36.262753808821735)	(75, 36.22483085899065)	(80, 36.22497088192843)	(85, 36.17005516612519)	(90, 36.147620210800525)	(95, 36.128940417450465)	(100, 36.04390177663575)	(105, 35.98975083005746)	(110, 35.9878834879592)	(115, 35.9256310657764)	(120, 35.88795785312411)	(125, 35.80996570321527)	(130, 35.78961950318514)	(135, 35.68166961587521)	(140, 35.57382295050731)	(145, 35.519301453863946)	(150, 35.89000414958093)
MSD-9-RNASeq030-Ilmn-mRNA_S9_L001_R1_paired	(1, 19.671137294622817)	(2, 35.67519578692983)	(3, 35.958480806806826)	(4, 36.10994746080347)	(5, 36.209441613786424)	(6, 36.215823849264176)	(7, 36.155908864389914)	(8, 36.260005042812615)	(9, 36.24596782858325)	(10, 36.34863690183415)	(15, 36.36004447825516)	(20, 36.36138559645297)	(25, 36.28531571840373)	(30, 36.27888658584849)	(35, 36.272644231729664)	(40, 36.24450975384703)	(45, 36.23640329758911)	(50, 36.19045377767314)	(55, 36.210675618906144)	(60, 36.228097221431256)	(65, 36.190392509178835)	(70, 36.180649554003615)	(75, 36.16324049730311)	(80, 36.15111742061911)	(85, 36.14267240632132)	(90, 36.10808019317967)	(95, 36.09161393378035)	(100, 36.03206062878776)	(105, 36.04945160826769)	(110, 35.98872178677631)	(115, 35.98174313057436)	(120, 35.91308791790005)	(125, 35.9033392445465)	(130, 35.87618091039934)	(135, 35.82316604667985)	(140, 35.78014353450849)	(145, 35.79957543025474)	(150, 36.03557510176777)
MSD-9-RNASeq030-Ilmn-mRNA_S9_L001_R2_paired	(1, 18.033890778293877)	(2, 36.11080549483004)	(3, 36.007067064548544)	(4, 36.12098355362794)	(5, 36.14631758597213)	(6, 36.19778569774115)	(7, 36.18656268610219)	(8, 36.18471930592757)	(9, 36.29378853985739)	(10, 36.282239224767444)	(15, 36.276672089219986)	(20, 36.259685293938205)	(25, 36.25773611188349)	(30, 36.185397051304406)	(35, 36.18804394481846)	(40, 36.13178787144175)	(45, 36.10530726332391)	(50, 36.06867253598119)	(55, 36.06361354138785)	(60, 36.04972803386768)	(65, 36.03216461508275)	(70, 36.01632560049259)	(75, 35.97541259185617)	(80, 35.97964713877047)	(85, 35.917775730963186)	(90, 35.8967197223311)	(95, 35.879684507305214)	(100, 35.78777505962527)	(105, 35.73247563334212)	(110, 35.737463077484826)	(115, 35.6779328330505)	(120, 35.64276944823865)	(125, 35.56617071176956)	(130, 35.55202098534965)	(135, 35.44409308106213)	(140, 35.33602914766639)	(145, 35.28821474803899)	(150, 35.76141396934542)
