Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R2_paired	(1.0, 22.374237681707886)	(2.0, 7.30139062445287)	(3.0, 3.6611848212186557)	(4.0, 2.359895056131522)	(5.0, 1.7991413086943957)	(6.0, 1.4597932087827477)	(7.0, 1.2259479914064544)	(8.0, 1.0689954231883636)	(9.0, 0.9207140658168038)	('>10', 16.552734118767358)	('>50', 8.88277660465788)	('>100', 20.806502903937226)	('>500', 6.115744022830221)	('>1k', 5.197134835472997)	('>5k', 0.27380733293482457)	('>10k+', 0.0)
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R1_paired	(1.0, 19.47778030051349)	(2.0, 6.581157212561281)	(3.0, 3.4722819421301954)	(4.0, 2.295239938809145)	(5.0, 1.7681150145329085)	(6.0, 1.4329452189688883)	(7.0, 1.1907291116621195)	(8.0, 1.1056369317414438)	(9.0, 0.9464336867169684)	('>10', 15.06176343683389)	('>50', 7.298578251092974)	('>100', 19.211438619787323)	('>500', 7.807381290311727)	('>1k', 10.120333717265558)	('>5k', 1.6324518188605721)	('>10k+', 0.5977335082114118)
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R2_paired	(1.0, 21.379940315096988)	(2.0, 6.497037730386829)	(3.0, 3.481148592046115)	(4.0, 2.336805194097799)	(5.0, 1.7895843453664992)	(6.0, 1.4694134151293745)	(7.0, 1.2088640929995456)	(8.0, 1.0479596229066384)	(9.0, 0.9240370386046662)	('>10', 16.701899611881878)	('>50', 8.642999424477791)	('>100', 20.720406578570728)	('>500', 6.795722064562115)	('>1k', 6.601112158769077)	('>5k', 0.34533109797256534)	('>10k+', 0.057738717131391136)
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R1_paired	(1.0, 16.979025370603317)	(2.0, 5.695969821229937)	(3.0, 3.0947474719628083)	(4.0, 2.0618157379782995)	(5.0, 1.5987285100869502)	(6.0, 1.277444148565321)	(7.0, 1.1629399872113888)	(8.0, 0.919329039304544)	(9.0, 0.834676385615892)	('>10', 14.220775319115358)	('>50', 7.304660487686214)	('>100', 21.22001361600076)	('>500', 9.180219767917084)	('>1k', 12.560892799932358)	('>5k', 1.358868010550274)	('>10k+', 0.5298935262396076)
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R2_paired	(1.0, 18.075112725007937)	(2.0, 5.816567654990359)	(3.0, 2.9419887404493994)	(4.0, 1.9786335409126503)	(5.0, 1.4912466531296358)	(6.0, 1.198401085232752)	(7.0, 1.0169677102732129)	(8.0, 0.9901374059307512)	(9.0, 0.8288817808904694)	('>10', 14.593027722997679)	('>50', 8.756087296037043)	('>100', 24.275120562457158)	('>500', 8.970801513952127)	('>1k', 8.685712661504812)	('>5k', 0.27616704740625975)	('>10k+', 0.10514589882786314)
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R1_paired	(1.0, 19.147637972262395)	(2.0, 7.321844963897832)	(3.0, 3.773293231660245)	(4.0, 2.447047623402161)	(5.0, 1.7922441326707568)	(6.0, 1.4474586232892326)	(7.0, 1.16711897242166)	(8.0, 1.0146578250500498)	(9.0, 0.9437978345143042)	('>10', 14.974835529180055)	('>50', 7.53291946225387)	('>100', 19.90991449083169)	('>500', 7.418691112957468)	('>1k', 8.782440521346695)	('>5k', 1.3723247092284165)	('>10k+', 0.9537729950330723)
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R2_paired	(1.0, 17.679733065377945)	(2.0, 7.086554399210838)	(3.0, 3.628751509886868)	(4.0, 2.235289082632662)	(5.0, 1.6810937692064178)	(6.0, 1.3125630146180316)	(7.0, 1.1624784727023278)	(8.0, 0.9506460335937199)	(9.0, 0.912020417888931)	('>10', 16.55756914367939)	('>50', 9.202908749708397)	('>100', 22.57469331914962)	('>500', 7.2148265584060844)	('>1k', 7.204872968433109)	('>5k', 0.3417336949994009)	('>10k+', 0.2542658005063053)
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R1_paired	(1.0, 15.760458634684907)	(2.0, 7.0997851962654295)	(3.0, 3.793459392067411)	(4.0, 2.564496106306282)	(5.0, 1.881803452861246)	(6.0, 1.5664966778658984)	(7.0, 1.2219990767465136)	(8.0, 1.0662507985002945)	(9.0, 0.9716884976782318)	('>10', 15.937091186825228)	('>50', 8.097189501454787)	('>100', 21.82578985256891)	('>500', 8.02203615035155)	('>1k', 9.33689788716702)	('>5k', 0.7902082509710142)	('>10k+', 0.06434933768514597)
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R2_paired	(1.0, 18.767565847879304)	(2.0, 7.132089199976364)	(3.0, 3.765083992227021)	(4.0, 2.5022953943776356)	(5.0, 1.8035979461819542)	(6.0, 1.5096057180188556)	(7.0, 1.2498274879697582)	(8.0, 1.029264388407005)	(9.0, 0.9657512921972002)	('>10', 17.86192644330233)	('>50', 9.50473685247044)	('>100', 22.159518389880656)	('>500', 6.743738933064673)	('>1k', 4.572872669824468)	('>5k', 0.03532368475276177)	('>10k+', 0.396801759469621)
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R1_paired	(1.0, 17.8761700138144)	(2.0, 7.176828653981223)	(3.0, 3.890623388795652)	(4.0, 2.5896195705954983)	(5.0, 1.9580052308472529)	(6.0, 1.518500888907189)	(7.0, 1.2884580913068953)	(8.0, 1.140178449075379)	(9.0, 1.001546158001111)	('>10', 16.194474474189256)	('>50', 7.612315751999328)	('>100', 19.61058055653899)	('>500', 7.744265957415303)	('>1k', 9.020772062761912)	('>5k', 1.059257973242456)	('>10k+', 0.31840277852831306)
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R2_paired	(1.0, 20.25208415100825)	(2.0, 7.197177208621988)	(3.0, 3.803501035277578)	(4.0, 2.551350293694775)	(5.0, 1.9649554918063792)	(6.0, 1.510235973413861)	(7.0, 1.3122615389296786)	(8.0, 1.1721282073357737)	(9.0, 1.0482211040256393)	('>10', 17.626611542249922)	('>50', 9.137338031282955)	('>100', 21.067874382507863)	('>500', 6.348711128187793)	('>1k', 4.883076249009368)	('>5k', 0.1244736626483028)	('>10k+', 0.0)
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R1_paired	(1.0, 14.612450857485854)	(2.0, 7.021954912743716)	(3.0, 4.019436999203803)	(4.0, 2.685677134737403)	(5.0, 1.9176472583891122)	(6.0, 1.5159182235652857)	(7.0, 1.2776774080291244)	(8.0, 1.1321971641555075)	(9.0, 0.9978418514402472)	('>10', 16.07070861438336)	('>50', 7.763416610557544)	('>100', 20.532471275579418)	('>500', 8.207875636946552)	('>1k', 10.78181070520829)	('>5k', 1.2558145488722965)	('>10k+', 0.20710079870238499)
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R2_paired	(1.0, 17.838389846994566)	(2.0, 7.225562334866698)	(3.0, 3.911583832770718)	(4.0, 2.460975711670767)	(5.0, 1.8664163390281447)	(6.0, 1.5280130078156606)	(7.0, 1.2875769887849005)	(8.0, 1.095447113035913)	(9.0, 0.9590978550005701)	('>10', 17.55518504800207)	('>50', 9.25043888685226)	('>100', 22.13703077030061)	('>500', 6.98174252060115)	('>1k', 5.689605765530541)	('>5k', 0.16095734391441255)	('>10k+', 0.05197663483111082)
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R1_paired	(1.0, 18.035595737008457)	(2.0, 7.085544094221946)	(3.0, 3.763684966040233)	(4.0, 2.449426183062781)	(5.0, 1.8267777564357008)	(6.0, 1.4980521147678485)	(7.0, 1.2516285596764793)	(8.0, 1.0970560706963073)	(9.0, 1.0032630424344045)	('>10', 15.532348329517646)	('>50', 7.5550773236757545)	('>100', 19.917128541256123)	('>500', 7.588133202074168)	('>1k', 10.041671436056951)	('>5k', 1.157280366736698)	('>10k+', 0.1973322763386269)
