Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R2_paired	(23.0, 1.0)	(24.0, 1.0)	(25.0, 55.0)	(26.0, 448.0)	(27.0, 3102.0)	(28.0, 14181.0)	(29.0, 49987.0)	(30.0, 136210.0)	(31.0, 317519.0)	(32.0, 625581.0)	(33.0, 1158359.0)	(34.0, 2122338.0)	(35.0, 5264293.0)	(36.0, 14863078.0)	(37.0, 386069.0)
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R1_paired	(25.0, 8.0)	(26.0, 172.0)	(27.0, 1885.0)	(28.0, 12063.0)	(29.0, 52600.0)	(30.0, 160137.0)	(31.0, 387166.0)	(32.0, 755758.0)	(33.0, 1396696.0)	(34.0, 2729477.0)	(35.0, 6357707.0)	(36.0, 6311756.0)	(37.0, 43019.0)		
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R2_paired	(24.0, 1.0)	(25.0, 5.0)	(26.0, 71.0)	(27.0, 529.0)	(28.0, 2530.0)	(29.0, 10109.0)	(30.0, 31517.0)	(31.0, 84119.0)	(32.0, 197361.0)	(33.0, 439405.0)	(34.0, 1003840.0)	(35.0, 3369021.0)	(36.0, 12644944.0)	(37.0, 424992.0)	
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R1_paired	(25.0, 4.0)	(26.0, 49.0)	(27.0, 581.0)	(28.0, 4218.0)	(29.0, 20670.0)	(30.0, 68083.0)	(31.0, 171229.0)	(32.0, 337701.0)	(33.0, 603383.0)	(34.0, 1035563.0)	(35.0, 2262859.0)	(36.0, 12566382.0)	(37.0, 921742.0)		
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R2_paired	(25.0, 23.0)	(26.0, 240.0)	(27.0, 1776.0)	(28.0, 8453.0)	(29.0, 30733.0)	(30.0, 84661.0)	(31.0, 196595.0)	(32.0, 379808.0)	(33.0, 684207.0)	(34.0, 1222386.0)	(35.0, 3046895.0)	(36.0, 11851271.0)	(37.0, 485416.0)		
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R1_paired	(25.0, 2.0)	(26.0, 56.0)	(27.0, 607.0)	(28.0, 4659.0)	(29.0, 23590.0)	(30.0, 80266.0)	(31.0, 211129.0)	(32.0, 435670.0)	(33.0, 796087.0)	(34.0, 1395570.0)	(35.0, 3193909.0)	(36.0, 17615261.0)	(37.0, 968226.0)		
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R2_paired	(23.0, 1.0)	(24.0, 0.0)	(25.0, 36.0)	(26.0, 437.0)	(27.0, 3367.0)	(28.0, 15585.0)	(29.0, 54569.0)	(30.0, 147939.0)	(31.0, 335157.0)	(32.0, 635238.0)	(33.0, 1125506.0)	(34.0, 1996532.0)	(35.0, 4918971.0)	(36.0, 15064279.0)	(37.0, 427415.0)
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R1_paired	(25.0, 2.0)	(26.0, 49.0)	(27.0, 628.0)	(28.0, 4572.0)	(29.0, 22131.0)	(30.0, 74296.0)	(31.0, 191298.0)	(32.0, 387992.0)	(33.0, 707048.0)	(34.0, 1237432.0)	(35.0, 2803362.0)	(36.0, 15999972.0)	(37.0, 1121273.0)		
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R2_paired	(25.0, 33.0)	(26.0, 414.0)	(27.0, 3165.0)	(28.0, 14444.0)	(29.0, 50980.0)	(30.0, 134843.0)	(31.0, 302608.0)	(32.0, 565494.0)	(33.0, 997430.0)	(34.0, 1768863.0)	(35.0, 4428246.0)	(36.0, 13906791.0)	(37.0, 376744.0)		
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R1_paired	(25.0, 2.0)	(26.0, 51.0)	(27.0, 578.0)	(28.0, 4130.0)	(29.0, 20750.0)	(30.0, 69201.0)	(31.0, 181673.0)	(32.0, 373661.0)	(33.0, 688668.0)	(34.0, 1226768.0)	(35.0, 2898254.0)	(36.0, 15207161.0)	(37.0, 850686.0)		
