Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R1_paired	(1, 0.002184965464940084)	(2, 0.0016099745531137461)	(3, 0.0)	(4, 0.0)	(5, 0.0007076811222478005)	(6, 0.0)	(7, 1.3269021042146257e-05)	(8, 0.0)	(9, 8.846014028097506e-06)	(10, 4.423007014048753e-06)	(15, 0.0007174117376787078)	(20, 0.0)	(25, 0.00013445941322708208)	(30, 0.0)	(35, 0.00037684019759695375)	(40, 4.157626593205828e-05)	(45, 0.0)	(50, 0.0005118812418515237)	(55, 0.0006519784160680027)	(60, 0.0)	(65, 0.0021831850834344445)	(70, 0.0016390142132381585)	(75, 0.0)	(80, 9.130342542330732e-07)	(85, 0.0)	(90, 9.403927715919681e-07)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.1896469010114606e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0009475277709546024)	(130, 2.7608431874613767e-06)	(135, 0.00028806759749924824)	(140, 1.2685467883186122e-05)	(145, 0.0)	(150, 0.0)
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R2_paired	(1, 0.0659824186355793)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 4.423007014048753e-06)	(9, 0.0)	(10, 0.004510582552926918)	(15, 3.538405611239002e-06)	(20, 1.680742665338526e-05)	(25, 3.626865751519977e-05)	(30, 0.03113266177048636)	(35, 9.730615430907257e-06)	(40, 0.0)	(45, 0.003748940745107723)	(50, 0.0023760131953248246)	(55, 8.893794706048745e-05)	(60, 6.0726303015893255e-05)	(65, 0.0005949071639743603)	(70, 0.0010152390632153629)	(75, 0.000670130858280326)	(80, 3.6713804958810646e-05)	(85, 0.0008969313902288611)	(90, 0.0005864183390578753)	(95, 0.0010649853993514025)	(100, 0.0006066430563194579)	(105, 0.002231409188284897)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 8.02881613184485e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 1.7694188230632843e-06)	(150, 0.0)
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R1_paired	(1, 0.0023731088235738893)	(2, 0.001844739104697553)	(3, 0.0)	(4, 0.0)	(5, 0.0008107742237929987)	(6, 0.0)	(7, 9.109822739247175e-06)	(8, 0.0)	(9, 1.3664734108870762e-05)	(10, 2.7329468217741526e-06)	(15, 0.000686880634539237)	(20, 0.0)	(25, 0.0001457571638279548)	(30, 0.0)	(35, 0.0003962772891572521)	(40, 5.192598961370889e-05)	(45, 0.0)	(50, 0.000557186168629412)	(55, 0.0006409761534651624)	(60, 0.0)	(65, 0.00240004577756026)	(70, 0.0016756172322768242)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 1.924852192043812e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.963484168623497e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0010141676154236602)	(130, 1.3536847196542635e-06)	(135, 0.0002831302692860615)	(140, 1.6826072029202106e-05)	(145, 0.0)	(150, 0.0)
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R2_paired	(1, 0.06643338232596002)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 4.554911369623588e-06)	(9, 0.0)	(10, 0.004677893976603425)	(15, 3.64392909569887e-06)	(20, 9.109822739247175e-06)	(25, 3.917223777876285e-05)	(30, 0.03144619711360732)	(35, 7.28785819139774e-06)	(40, 0.0)	(45, 0.0038816954691932213)	(50, 0.0024001167381751238)	(55, 8.240104184215036e-05)	(60, 7.719649247811162e-05)	(65, 0.0005833162668715116)	(70, 0.0010854500010372078)	(75, 0.0007183400318307771)	(80, 3.1091638449355976e-05)	(85, 0.0009538779229705041)	(90, 0.0006254626484179228)	(95, 0.0011240334614344566)	(100, 0.0005920587083781963)	(105, 0.0023171141169701023)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 9.237280122158996e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 3.382187509929891e-06)	(150, 0.0)
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R1_paired	(1, 0.002353533439540372)	(2, 0.0014353747382546051)	(3, 0.0)	(4, 0.0)	(5, 0.0007698099154885034)	(6, 0.0)	(7, 8.018853286338577e-06)	(8, 0.0)	(9, 8.018853286338577e-06)	(10, 2.405655985901573e-06)	(15, 0.0007064609745264285)	(20, 0.0)	(25, 0.00014915067112589752)	(30, 0.0)	(35, 0.00041938602687550757)	(40, 5.132066103256689e-05)	(45, 0.0)	(50, 0.0005692619396107986)	(55, 0.0006725357316220631)	(60, 0.0)	(65, 0.0017874541586569302)	(70, 0.0016132343847042947)	(75, 0.0)	(80, 8.269539008345825e-07)	(85, 0.0)	(90, 1.6987542372663972e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.4485529192933236e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0009172710177194087)	(130, 1.2236833436432733e-06)	(135, 0.0002630813744983522)	(140, 1.2643467000487913e-05)	(145, 0.0)	(150, 0.0)
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R2_paired	(1, 0.06427912794329003)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 4.009426643169288e-06)	(8, 0.0)	(9, 0.0)	(10, 0.004622868919574189)	(15, 3.2075413145354306e-06)	(20, 1.5235821244043296e-05)	(25, 2.8867871830818872e-05)	(30, 0.031179707233270286)	(35, 8.820738614972434e-06)	(40, 0.0)	(45, 0.003755228993992355)	(50, 0.0023652110210352554)	(55, 9.112287999394105e-05)	(60, 5.587912900602335e-05)	(65, 0.0006021730831626416)	(70, 0.0010801796220873754)	(75, 0.0007063745373030417)	(80, 3.0767617036501875e-05)	(85, 0.0009600004688844394)	(90, 0.0005864408305002106)	(95, 0.0011080808870316265)	(100, 0.0005940591203309568)	(105, 0.002300209529709102)	(110, 0.0)	(115, 1.0331524145701765e-06)	(120, 0.0)	(125, 0.00010164065185865178)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 4.699774121022787e-06)	(150, 0.0)
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R1_paired	(1, 0.001966120773416993)	(2, 0.0004064048526057471)	(3, 0.0)	(4, 0.0)	(5, 0.0004393565974116185)	(6, 0.0)	(7, 1.0983914935290462e-05)	(8, 0.0)	(9, 1.0983914935290462e-05)	(10, 3.2951744805871387e-06)	(15, 0.0005865410575445107)	(20, 3.2951744805871387e-06)	(25, 0.00011313432383349177)	(30, 0.0)	(35, 0.00038883058870928233)	(40, 3.405013629940043e-05)	(45, 0.0)	(50, 0.0005395918232325378)	(55, 0.0006131556117869886)	(60, 0.0)	(65, 0.0009835297632667518)	(70, 0.0012278147864494399)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 1.226766092950693e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.1952376830233846e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0006265124961774271)	(130, 0.0)	(135, 0.00015414014395081027)	(140, 0.0)	(145, 0.0)	(150, 0.0)
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R2_paired	(1, 0.06309709934577606)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 1.0983914935290462e-05)	(9, 0.0)	(10, 0.004654983149576098)	(15, 2.196782987058092e-06)	(20, 7.688740454703323e-06)	(25, 1.4279089415877599e-05)	(30, 0.03097573850901263)	(35, 4.393565974116184e-06)	(40, 0.0)	(45, 0.0037169568141022925)	(50, 0.002369950662026197)	(55, 8.717422990285304e-05)	(60, 6.20374375108524e-05)	(65, 0.0005667688754718698)	(70, 0.0010794004747479023)	(75, 0.0007117372246251619)	(80, 2.4058524078286436e-05)	(85, 0.001018579366006567)	(90, 0.000499448241127302)	(95, 0.0011898345723448517)	(100, 0.00048638973436635304)	(105, 0.002373425554252507)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 8.280252266165541e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 5.0968572345059175e-06)	(150, 0.0)
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R1_paired	(1, 0.0020730901559675207)	(2, 0.0022842896892832465)	(3, 0.0)	(4, 0.0)	(5, 0.0008614717806299349)	(6, 0.0)	(7, 5.557882455676999e-06)	(8, 0.0)	(9, 0.0)	(10, 5.557882455676999e-06)	(15, 0.0008703643925590182)	(20, 0.0)	(25, 0.00014561652033873737)	(30, 0.0)	(35, 0.0003979443838264731)	(40, 6.224828350358239e-05)	(45, 0.0)	(50, 0.0005445679414656949)	(55, 0.0007277526979891801)	(60, 0.0)	(65, 0.0026536660698307673)	(70, 0.0017246199806204752)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.790430005132837e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0010600032890511891)	(130, 0.0)	(135, 0.0003422705064889541)	(140, 3.280379655634094e-05)	(145, 0.0)	(150, 0.0)
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R2_paired	(1, 0.06726149347860305)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 5.557882455676999e-06)	(9, 0.0)	(10, 0.00467084441575095)	(15, 1.1115764911353997e-06)	(20, 2.0008376840437194e-05)	(25, 4.001675368087439e-05)	(30, 0.03165436373806278)	(35, 1.2227341402489397e-05)	(40, 1.1115764911353997e-06)	(45, 0.0040016753680874395)	(50, 0.0025599573937534967)	(55, 7.733650997344522e-05)	(60, 6.09488627303393e-05)	(65, 0.0006266256449416277)	(70, 0.0010782096784455045)	(75, 0.0007026022995681442)	(80, 4.057577744233809e-05)	(85, 0.0009912045519355627)	(90, 0.0006504333245245351)	(95, 0.001172540290932191)	(100, 0.000651210757257469)	(105, 0.002344915893205917)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 9.029271996886707e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
